"Fact","Fact Note","Marshall County, Tennessee","Value Note for Marshall County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","37,847",""
"Population estimates, July 1, 2023, (V2023)","","36,961",""
"Population estimates base, April 1, 2020, (V2024)","","34,322",""
"Population estimates base, April 1, 2020, (V2023)","","34,327",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","10.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","7.7%",""
"Population, Census, April 1, 2020","","34,318",""
"Population, Census, April 1, 2010","","30,617",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","16.6%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","90.0%",""
"Black alone, percent (a)","(a)","6.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","7.5%",""
"White alone, not Hispanic or Latino, percent","","83.6%",""
"Veterans, 2019-2023","","2,208",""
"Foreign-born persons, percent, 2019-2023","","2.9%",""
"Housing Units, July 1, 2023, (V2023)","","14,962",""
"Owner-occupied housing unit rate, 2019-2023","","77.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$246,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,369",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$451",""
"Median gross rent, 2019-2023","","$924",""
"Building Permits, 2023","","339",""
"Households, 2019-2023","","13,268",""
"Persons per household, 2019-2023","","2.63",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.0%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","21.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","10.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","129,908",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","45,450",""
"Total retail sales, 2022 ($1,000)","(c)","449,949",""
"Total retail sales per capita, 2022","(c)","$12,548",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.6",""
"Median households income (in 2023 dollars), 2019-2023","","$70,829",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,984",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2022","","562",""
"Total employment, 2022","","8,048",""
"Total annual payroll, 2022 ($1,000)","","390,420",""
"Total employment, percent change, 2021-2022","","3.7%",""
"Total nonemployer establishments, 2022","","2,894",""
"All employer firms, Reference year 2022","","419",""
"Men-owned employer firms, Reference year 2022","","235",""
"Women-owned employer firms, Reference year 2022","","66",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","276",""
"Veteran-owned employer firms, Reference year 2022","","13",""
"Nonveteran-owned employer firms, Reference year 2022","","296",""
"Population per square mile, 2020","","91.4",""
"Population per square mile, 2010","","81.5",""
"Land area in square miles, 2020","","375.46",""
"Land area in square miles, 2010","","375.46",""
"FIPS Code","","""47117""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
