"Fact","Fact Note","Scott County, Tennessee","Value Note for Scott County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","22,517",""
"Population estimates, July 1, 2023, (V2023)","","22,171",""
"Population estimates base, April 1, 2020, (V2024)","","21,847",""
"Population estimates base, April 1, 2020, (V2023)","","21,848",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.5%",""
"Population, Census, April 1, 2020","","21,850",""
"Population, Census, April 1, 2010","","22,228",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","97.5%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","0.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","1.3%",""
"White alone, not Hispanic or Latino, percent","","96.4%",""
"Veterans, 2019-2023","","1,176",""
"Foreign-born persons, percent, 2019-2023","","0.7%",""
"Housing Units, July 1, 2023, (V2023)","","9,922",""
"Owner-occupied housing unit rate, 2019-2023","","71.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$116,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,063",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$346",""
"Median gross rent, 2019-2023","","$691",""
"Building Permits, 2023","","2",""
"Households, 2019-2023","","8,638",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.5%",""
"Households with a computer, percent, 2019-2023","","85.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","76.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","80.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","10.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","20.5%",""
"Persons without health insurance, under age 65 years, percent","","13.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","25,198",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","52,258",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","231,624",""
"Total retail sales per capita, 2022","(c)","$10,529",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.4",""
"Median households income (in 2023 dollars), 2019-2023","","$42,679",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,544",""
"Persons in poverty, percent","","21.0%",""
"Total employer establishments, 2022","","338",""
"Total employment, 2022","","3,743",""
"Total annual payroll, 2022 ($1,000)","","139,681",""
"Total employment, percent change, 2021-2022","","4.0%",""
"Total nonemployer establishments, 2022","","1,481",""
"All employer firms, Reference year 2022","","248",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","22",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","192",""
"Veteran-owned employer firms, Reference year 2022","","6",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","41.0",""
"Population per square mile, 2010","","41.8",""
"Land area in square miles, 2020","","532.30",""
"Land area in square miles, 2010","","532.30",""
"FIPS Code","","""47151""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
