"Fact","Fact Note","Brooks County, Texas","Value Note for Brooks County, Texas"
"Population estimates, July 1, 2024, (V2024)","","6,740",""
"Population estimates, July 1, 2023, (V2023)","","6,848",""
"Population estimates base, April 1, 2020, (V2024)","","7,127",""
"Population estimates base, April 1, 2020, (V2023)","","7,079",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-5.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.3%",""
"Population, Census, April 1, 2020","","7,076",""
"Population, Census, April 1, 2010","","7,223",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","25.4%",""
"Persons 65 years and over, percent","","17.0%",""
"Female persons, percent","","46.8%",""
"White alone, percent","","93.2%",""
"Black alone, percent (a)","(a)","3.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","86.9%",""
"White alone, not Hispanic or Latino, percent","","8.3%",""
"Veterans, 2019-2023","","270",""
"Foreign-born persons, percent, 2019-2023","","8.0%",""
"Housing Units, July 1, 2023, (V2023)","","3,109",""
"Owner-occupied housing unit rate, 2019-2023","","53.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$82,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,144",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$396",""
"Median gross rent, 2019-2023","","$487",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","2,884",""
"Persons per household, 2019-2023","","2.27",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","69.2%",""
"Households with a computer, percent, 2019-2023","","81.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","75.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","67.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","14.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","15.5%",""
"Persons without health insurance, under age 65 years, percent","","17.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,573",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","18,630",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","10,972",""
"Total retail sales, 2022 ($1,000)","(c)","161,247",""
"Total retail sales per capita, 2022","(c)","$23,362",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","14.7",""
"Median households income (in 2023 dollars), 2019-2023","","$31,310",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$25,010",""
"Persons in poverty, percent","","29.7%",""
"Total employer establishments, 2022","","108",""
"Total employment, 2022","","1,255",""
"Total annual payroll, 2022 ($1,000)","","38,111",""
"Total employment, percent change, 2021-2022","","-3.2%",""
"Total nonemployer establishments, 2022","","544",""
"All employer firms, Reference year 2022","","84",""
"Men-owned employer firms, Reference year 2022","","57",""
"Women-owned employer firms, Reference year 2022","","5",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","37",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","44",""
"Population per square mile, 2020","","7.5",""
"Population per square mile, 2010","","7.7",""
"Land area in square miles, 2020","","943.36",""
"Land area in square miles, 2010","","943.36",""
"FIPS Code","","""48047""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
