"Fact","Fact Note","Coryell County, Texas","Value Note for Coryell County, Texas"
"Population estimates, July 1, 2024, (V2024)","","86,370",""
"Population estimates, July 1, 2023, (V2023)","","84,878",""
"Population estimates base, April 1, 2020, (V2024)","","83,088",""
"Population estimates base, April 1, 2020, (V2023)","","83,085",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.2%",""
"Population, Census, April 1, 2020","","83,093",""
"Population, Census, April 1, 2010","","75,388",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","22.5%",""
"Persons 65 years and over, percent","","11.7%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","72.6%",""
"Black alone, percent (a)","(a)","17.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","2.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.1%",""
"Two or More Races, percent","","4.6%",""
"Hispanic or Latino, percent (b)","(b)","21.1%",""
"White alone, not Hispanic or Latino, percent","","55.3%",""
"Veterans, 2019-2023","","10,175",""
"Foreign-born persons, percent, 2019-2023","","6.2%",""
"Housing Units, July 1, 2023, (V2023)","","29,895",""
"Owner-occupied housing unit rate, 2019-2023","","59.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$177,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,483",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$551",""
"Median gross rent, 2019-2023","","$1,120",""
"Building Permits, 2023","","448",""
"Households, 2019-2023","","26,099",""
"Persons per household, 2019-2023","","2.59",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","77.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.0%",""
"Households with a computer, percent, 2019-2023","","94.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.4%",""
"Persons without health insurance, under age 65 years, percent","","14.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","41.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","40.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","110,373",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total retail sales, 2022 ($1,000)","(c)","697,817",""
"Total retail sales per capita, 2022","(c)","$8,287",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.3",""
"Median households income (in 2023 dollars), 2019-2023","","$68,904",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,059",""
"Persons in poverty, percent","","12.2%",""
"Total employer establishments, 2022","","789",""
"Total employment, 2022","","9,590",""
"Total annual payroll, 2022 ($1,000)","","340,870",""
"Total employment, percent change, 2021-2022","","1.9%",""
"Total nonemployer establishments, 2022","","4,148",""
"All employer firms, Reference year 2022","","615",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","133",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","344",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","447",""
"Population per square mile, 2020","","79.0",""
"Population per square mile, 2010","","71.7",""
"Land area in square miles, 2020","","1,052.25",""
"Land area in square miles, 2010","","1,052.07",""
"FIPS Code","","""48099""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
