"Fact","Fact Note","Fayette County, Texas","Value Note for Fayette County, Texas"
"Population estimates, July 1, 2024, (V2024)","","25,488",""
"Population estimates, July 1, 2023, (V2023)","","25,474",""
"Population estimates base, April 1, 2020, (V2024)","","24,473",""
"Population estimates base, April 1, 2020, (V2023)","","24,433",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.3%",""
"Population, Census, April 1, 2020","","24,435",""
"Population, Census, April 1, 2010","","24,554",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.3%",""
"Persons 65 years and over, percent","","27.1%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","89.8%",""
"Black alone, percent (a)","(a)","6.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.5%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","22.2%",""
"White alone, not Hispanic or Latino, percent","","69.9%",""
"Veterans, 2019-2023","","1,541",""
"Foreign-born persons, percent, 2019-2023","","7.3%",""
"Housing Units, July 1, 2023, (V2023)","","13,297",""
"Owner-occupied housing unit rate, 2019-2023","","79.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$271,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,654",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$603",""
"Median gross rent, 2019-2023","","$909",""
"Building Permits, 2023","","29",""
"Households, 2019-2023","","9,855",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.2%",""
"Households with a computer, percent, 2019-2023","","88.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","77.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.6%",""
"Persons without health insurance, under age 65 years, percent","","19.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","55.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","85,426",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","97,409",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","141,257",""
"Total retail sales, 2022 ($1,000)","(c)","662,736",""
"Total retail sales per capita, 2022","(c)","$26,580",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.3",""
"Median households income (in 2023 dollars), 2019-2023","","$76,541",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,964",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","776",""
"Total employment, 2022","","7,224",""
"Total annual payroll, 2022 ($1,000)","","332,452",""
"Total employment, percent change, 2021-2022","","5.1%",""
"Total nonemployer establishments, 2022","","2,867",""
"All employer firms, Reference year 2022","","534",""
"Men-owned employer firms, Reference year 2022","","284",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","400",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","421",""
"Population per square mile, 2020","","25.7",""
"Population per square mile, 2010","","25.8",""
"Land area in square miles, 2020","","949.93",""
"Land area in square miles, 2010","","950.01",""
"FIPS Code","","""48149""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
