"Fact","Fact Note","Gonzales County, Texas","Value Note for Gonzales County, Texas"
"Population estimates, July 1, 2024, (V2024)","","20,040",""
"Population estimates, July 1, 2023, (V2023)","","19,930",""
"Population estimates base, April 1, 2020, (V2024)","","19,657",""
"Population estimates base, April 1, 2020, (V2023)","","19,658",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%",""
"Population, Census, April 1, 2020","","19,653",""
"Population, Census, April 1, 2010","","19,807",""
"Persons under 5 years, percent","","7.2%",""
"Persons under 18 years, percent","","26.4%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","88.6%",""
"Black alone, percent (a)","(a)","7.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.8%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","51.2%",""
"White alone, not Hispanic or Latino, percent","","41.1%",""
"Veterans, 2019-2023","","772",""
"Foreign-born persons, percent, 2019-2023","","11.1%",""
"Housing Units, July 1, 2023, (V2023)","","9,064",""
"Owner-occupied housing unit rate, 2019-2023","","69.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$158,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,368",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$488",""
"Median gross rent, 2019-2023","","$837",""
"Building Permits, 2023","","10",""
"Households, 2019-2023","","7,656",""
"Persons per household, 2019-2023","","2.54",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","28.1%",""
"Households with a computer, percent, 2019-2023","","88.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","77.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","12.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","22.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","107,358",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","63,357",""
"Total retail sales, 2022 ($1,000)","(c)","338,190",""
"Total retail sales per capita, 2022","(c)","$17,067",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.4",""
"Median households income (in 2023 dollars), 2019-2023","","$59,355",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,773",""
"Persons in poverty, percent","","17.6%",""
"Total employer establishments, 2022","","413",""
"Total employment, 2022","","4,933",""
"Total annual payroll, 2022 ($1,000)","","244,466",""
"Total employment, percent change, 2021-2022","","-0.6%",""
"Total nonemployer establishments, 2022","","1,615",""
"All employer firms, Reference year 2022","","337",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","23",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","8",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","18.4",""
"Population per square mile, 2010","","18.6",""
"Land area in square miles, 2020","","1,066.69",""
"Land area in square miles, 2010","","1,066.69",""
"FIPS Code","","""48177""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
