"Fact","Fact Note","Grimes County, Texas","Value Note for Grimes County, Texas"
"Population estimates, July 1, 2024, (V2024)","","33,448",""
"Population estimates, July 1, 2023, (V2023)","","32,384",""
"Population estimates base, April 1, 2020, (V2024)","","29,296",""
"Population estimates base, April 1, 2020, (V2023)","","29,299",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","14.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.5%",""
"Population, Census, April 1, 2020","","29,268",""
"Population, Census, April 1, 2010","","26,604",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","22.8%",""
"Persons 65 years and over, percent","","18.8%",""
"Female persons, percent","","45.9%",""
"White alone, percent","","82.4%",""
"Black alone, percent (a)","(a)","13.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","25.7%",""
"White alone, not Hispanic or Latino, percent","","58.6%",""
"Veterans, 2019-2023","","1,636",""
"Foreign-born persons, percent, 2019-2023","","7.1%",""
"Housing Units, July 1, 2023, (V2023)","","12,509",""
"Owner-occupied housing unit rate, 2019-2023","","78.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$226,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,682",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$543",""
"Median gross rent, 2019-2023","","$985",""
"Building Permits, 2023","","150",""
"Households, 2019-2023","","10,289",""
"Persons per household, 2019-2023","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.0%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","82.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","81.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.4%",""
"Persons without health insurance, under age 65 years, percent","","19.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","52.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","51.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","33,269",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","37,016",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","41,464",""
"Total retail sales, 2022 ($1,000)","(c)","293,345",""
"Total retail sales per capita, 2022","(c)","$9,411",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","35.8",""
"Median households income (in 2023 dollars), 2019-2023","","$67,080",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,961",""
"Persons in poverty, percent","","14.9%",""
"Total employer establishments, 2022","","511",""
"Total employment, 2022","","6,380",""
"Total annual payroll, 2022 ($1,000)","","389,648",""
"Total employment, percent change, 2021-2022","","20.2%",""
"Total nonemployer establishments, 2022","","3,102",""
"All employer firms, Reference year 2022","","400",""
"Men-owned employer firms, Reference year 2022","","261",""
"Women-owned employer firms, Reference year 2022","","62",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","247",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","338",""
"Population per square mile, 2020","","37.2",""
"Population per square mile, 2010","","33.8",""
"Land area in square miles, 2020","","787.47",""
"Land area in square miles, 2010","","787.46",""
"FIPS Code","","""48185""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
