"Fact","Fact Note","Hill County, Texas","Value Note for Hill County, Texas"
"Population estimates, July 1, 2024, (V2024)","","38,771",""
"Population estimates, July 1, 2023, (V2023)","","38,101",""
"Population estimates base, April 1, 2020, (V2024)","","35,867",""
"Population estimates base, April 1, 2020, (V2023)","","35,870",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","8.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.2%",""
"Population, Census, April 1, 2020","","35,874",""
"Population, Census, April 1, 2010","","35,089",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","89.5%",""
"Black alone, percent (a)","(a)","6.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","23.5%",""
"White alone, not Hispanic or Latino, percent","","68.0%",""
"Veterans, 2019-2023","","2,441",""
"Foreign-born persons, percent, 2019-2023","","6.4%",""
"Housing Units, July 1, 2023, (V2023)","","16,563",""
"Owner-occupied housing unit rate, 2019-2023","","76.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$163,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,435",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$521",""
"Median gross rent, 2019-2023","","$929",""
"Building Permits, 2023","","66",""
"Households, 2019-2023","","13,457",""
"Persons per household, 2019-2023","","2.66",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.5%",""
"Households with a computer, percent, 2019-2023","","93.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.1%",""
"Persons without health insurance, under age 65 years, percent","","19.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","74,412",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","98,933",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","57,777",""
"Total retail sales, 2022 ($1,000)","(c)","612,444",""
"Total retail sales per capita, 2022","(c)","$16,434",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","30.8",""
"Median households income (in 2023 dollars), 2019-2023","","$63,147",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,410",""
"Persons in poverty, percent","","14.2%",""
"Total employer establishments, 2022","","670",""
"Total employment, 2022","","7,646",""
"Total annual payroll, 2022 ($1,000)","","351,111",""
"Total employment, percent change, 2021-2022","","-4.0%",""
"Total nonemployer establishments, 2022","","3,228",""
"All employer firms, Reference year 2022","","500",""
"Men-owned employer firms, Reference year 2022","","291",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","351",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","368",""
"Population per square mile, 2020","","37.4",""
"Population per square mile, 2010","","36.6",""
"Land area in square miles, 2020","","958.86",""
"Land area in square miles, 2010","","958.86",""
"FIPS Code","","""48217""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
