"Fact","Fact Note","Jim Hogg County, Texas","Value Note for Jim Hogg County, Texas"
"Population estimates, July 1, 2024, (V2024)","","4,583",""
"Population estimates, July 1, 2023, (V2023)","","4,720",""
"Population estimates base, April 1, 2020, (V2024)","","4,835",""
"Population estimates base, April 1, 2020, (V2023)","","4,835",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-5.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.4%",""
"Population, Census, April 1, 2020","","4,838",""
"Population, Census, April 1, 2010","","5,300",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","28.7%",""
"Persons 65 years and over, percent","","18.1%",""
"Female persons, percent","","48.2%",""
"White alone, percent","","96.0%",""
"Black alone, percent (a)","(a)","1.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.1%",""
"Hispanic or Latino, percent (b)","(b)","88.6%",""
"White alone, not Hispanic or Latino, percent","","8.6%",""
"Veterans, 2019-2023","","48",""
"Foreign-born persons, percent, 2019-2023","","1.4%",""
"Housing Units, July 1, 2023, (V2023)","","2,260",""
"Owner-occupied housing unit rate, 2019-2023","","61.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$125,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,575",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$379",""
"Median gross rent, 2019-2023","","$820",""
"Building Permits, 2023","","NA",""
"Households, 2019-2023","","1,221",""
"Persons per household, 2019-2023","","3.88",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","59.4%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","73.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","78.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.3%",""
"Persons without health insurance, under age 65 years, percent","","21.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","6,183",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","14,821",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","NA",""
"Total retail sales, 2022 ($1,000)","(c)","72,691",""
"Total retail sales per capita, 2022","(c)","$15,226",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.1",""
"Median households income (in 2023 dollars), 2019-2023","","$42,230",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$17,049",""
"Persons in poverty, percent","","24.6%",""
"Total employer establishments, 2022","","75",""
"Total employment, 2022","","1,184",""
"Total annual payroll, 2022 ($1,000)","","26,021",""
"Total employment, percent change, 2021-2022","","5.9%",""
"Total nonemployer establishments, 2022","","388",""
"All employer firms, Reference year 2022","","69",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","11",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","59",""
"Population per square mile, 2020","","4.3",""
"Population per square mile, 2010","","4.7",""
"Land area in square miles, 2020","","1,136.17",""
"Land area in square miles, 2010","","1,136.14",""
"FIPS Code","","""48247""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
