"Fact","Fact Note","Johnson County, Texas","Value Note for Johnson County, Texas"
"Population estimates, July 1, 2024, (V2024)","","210,547",""
"Population estimates, July 1, 2023, (V2023)","","202,906",""
"Population estimates base, April 1, 2020, (V2024)","","179,995",""
"Population estimates base, April 1, 2020, (V2023)","","180,008",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","17.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","12.7%",""
"Population, Census, April 1, 2020","","179,927",""
"Population, Census, April 1, 2010","","150,934",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","25.7%",""
"Persons 65 years and over, percent","","14.1%",""
"Female persons, percent","","49.8%",""
"White alone, percent","","88.5%",""
"Black alone, percent (a)","(a)","6.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","25.9%",""
"White alone, not Hispanic or Latino, percent","","64.4%",""
"Veterans, 2019-2023","","8,648",""
"Foreign-born persons, percent, 2019-2023","","6.7%",""
"Housing Units, July 1, 2023, (V2023)","","73,198",""
"Owner-occupied housing unit rate, 2019-2023","","74.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$254,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,863",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$583",""
"Median gross rent, 2019-2023","","$1,343",""
"Building Permits, 2023","","2,527",""
"Households, 2019-2023","","63,477",""
"Persons per household, 2019-2023","","2.93",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","17.7%",""
"Households with a computer, percent, 2019-2023","","95.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","18.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","374,612",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","655,065",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","472,015",""
"Total retail sales, 2022 ($1,000)","(c)","3,356,472",""
"Total retail sales per capita, 2022","(c)","$17,169",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.3",""
"Median households income (in 2023 dollars), 2019-2023","","$81,826",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,302",""
"Persons in poverty, percent","","9.9%",""
"Total employer establishments, 2022","","3,341",""
"Total employment, 2022","","42,150",""
"Total annual payroll, 2022 ($1,000)","","2,188,117",""
"Total employment, percent change, 2021-2022","","5.5%",""
"Total nonemployer establishments, 2022","","18,638",""
"All employer firms, Reference year 2022","","2,860",""
"Men-owned employer firms, Reference year 2022","","1,710",""
"Women-owned employer firms, Reference year 2022","","559",""
"Minority-owned employer firms, Reference year 2022","","542",""
"Nonminority-owned employer firms, Reference year 2022","","1,999",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,419",""
"Population per square mile, 2020","","248.2",""
"Population per square mile, 2010","","208.3",""
"Land area in square miles, 2020","","724.78",""
"Land area in square miles, 2010","","724.69",""
"FIPS Code","","""48251""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
