"Fact","Fact Note","Lubbock County, Texas","Value Note for Lubbock County, Texas"
"Population estimates, July 1, 2024, (V2024)","","327,394",""
"Population estimates, July 1, 2023, (V2023)","","320,940",""
"Population estimates base, April 1, 2020, (V2024)","","310,635",""
"Population estimates base, April 1, 2020, (V2023)","","310,633",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.3%",""
"Population, Census, April 1, 2020","","310,639",""
"Population, Census, April 1, 2010","","278,831",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","23.4%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","50.8%",""
"White alone, percent","","86.0%",""
"Black alone, percent (a)","(a)","8.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","2.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","36.6%",""
"White alone, not Hispanic or Latino, percent","","52.0%",""
"Veterans, 2019-2023","","12,773",""
"Foreign-born persons, percent, 2019-2023","","6.0%",""
"Housing Units, July 1, 2023, (V2023)","","142,829",""
"Owner-occupied housing unit rate, 2019-2023","","55.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,730",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$642",""
"Median gross rent, 2019-2023","","$1,134",""
"Building Permits, 2023","","2,514",""
"Households, 2019-2023","","124,045",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","78.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","20.0%",""
"Households with a computer, percent, 2019-2023","","95.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","33.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","16.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","1,235,307",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,531,833",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","783,484",""
"Total retail sales, 2022 ($1,000)","(c)","7,872,894",""
"Total retail sales per capita, 2022","(c)","$24,776",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.9",""
"Median households income (in 2023 dollars), 2019-2023","","$63,367",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$35,170",""
"Persons in poverty, percent","","17.1%",""
"Total employer establishments, 2022","","7,886",""
"Total employment, 2022","","121,217",""
"Total annual payroll, 2022 ($1,000)","","5,440,495",""
"Total employment, percent change, 2021-2022","","3.4%",""
"Total nonemployer establishments, 2022","","26,545",""
"All employer firms, Reference year 2022","","6,433",""
"Men-owned employer firms, Reference year 2022","","3,633",""
"Women-owned employer firms, Reference year 2022","","1,233",""
"Minority-owned employer firms, Reference year 2022","","1,031",""
"Nonminority-owned employer firms, Reference year 2022","","4,499",""
"Veteran-owned employer firms, Reference year 2022","","291",""
"Nonveteran-owned employer firms, Reference year 2022","","5,166",""
"Population per square mile, 2020","","346.8",""
"Population per square mile, 2010","","311.3",""
"Land area in square miles, 2020","","895.60",""
"Land area in square miles, 2010","","895.60",""
"FIPS Code","","""48303""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
