"Fact","Fact Note","McLennan County, Texas","Value Note for McLennan County, Texas"
"Population estimates, July 1, 2024, (V2024)","","270,358",""
"Population estimates, July 1, 2023, (V2023)","","268,583",""
"Population estimates base, April 1, 2020, (V2024)","","260,582",""
"Population estimates base, April 1, 2020, (V2023)","","260,588",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.1%",""
"Population, Census, April 1, 2020","","260,579",""
"Population, Census, April 1, 2010","","234,906",""
"Persons under 5 years, percent","","6.4%",""
"Persons under 18 years, percent","","23.9%",""
"Persons 65 years and over, percent","","15.6%",""
"Female persons, percent","","50.9%",""
"White alone, percent","","79.3%",""
"Black alone, percent (a)","(a)","15.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","27.2%",""
"White alone, not Hispanic or Latino, percent","","54.8%",""
"Veterans, 2019-2023","","14,352",""
"Foreign-born persons, percent, 2019-2023","","8.5%",""
"Housing Units, July 1, 2023, (V2023)","","109,534",""
"Owner-occupied housing unit rate, 2019-2023","","61.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$219,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,718",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$637",""
"Median gross rent, 2019-2023","","$1,106",""
"Building Permits, 2023","","1,750",""
"Households, 2019-2023","","95,966",""
"Persons per household, 2019-2023","","2.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","19.0%",""
"Households with a computer, percent, 2019-2023","","94.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","18.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","871,368",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,246,555",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,094,283",""
"Total retail sales, 2022 ($1,000)","(c)","5,367,940",""
"Total retail sales per capita, 2022","(c)","$20,168",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.7",""
"Median households income (in 2023 dollars), 2019-2023","","$63,888",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,019",""
"Persons in poverty, percent","","16.7%",""
"Total employer establishments, 2022","","5,758",""
"Total employment, 2022","","109,113",""
"Total annual payroll, 2022 ($1,000)","","5,138,737",""
"Total employment, percent change, 2021-2022","","4.3%",""
"Total nonemployer establishments, 2022","","20,124",""
"All employer firms, Reference year 2022","","4,650",""
"Men-owned employer firms, Reference year 2022","","2,584",""
"Women-owned employer firms, Reference year 2022","","941",""
"Minority-owned employer firms, Reference year 2022","","620",""
"Nonminority-owned employer firms, Reference year 2022","","3,341",""
"Veteran-owned employer firms, Reference year 2022","","262",""
"Nonveteran-owned employer firms, Reference year 2022","","3,673",""
"Population per square mile, 2020","","251.4",""
"Population per square mile, 2010","","226.5",""
"Land area in square miles, 2020","","1,036.66",""
"Land area in square miles, 2010","","1,037.10",""
"FIPS Code","","""48309""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
