"Fact","Fact Note","Montgomery County, Texas","Value Note for Montgomery County, Texas"
"Population estimates, July 1, 2024, (V2024)","","749,613",""
"Population estimates, July 1, 2023, (V2023)","","711,354",""
"Population estimates base, April 1, 2020, (V2024)","","620,567",""
"Population estimates base, April 1, 2020, (V2023)","","620,460",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","20.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","14.6%",""
"Population, Census, April 1, 2020","","620,443",""
"Population, Census, April 1, 2010","","455,746",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","25.8%",""
"Persons 65 years and over, percent","","14.0%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","85.0%",""
"Black alone, percent (a)","(a)","7.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","3.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","28.3%",""
"White alone, not Hispanic or Latino, percent","","58.8%",""
"Veterans, 2019-2023","","33,193",""
"Foreign-born persons, percent, 2019-2023","","14.7%",""
"Housing Units, July 1, 2023, (V2023)","","280,357",""
"Owner-occupied housing unit rate, 2019-2023","","71.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$317,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,229",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$751",""
"Median gross rent, 2019-2023","","$1,471",""
"Building Permits, 2023","","13,741",""
"Households, 2019-2023","","235,474",""
"Persons per household, 2019-2023","","2.77",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","24.1%",""
"Households with a computer, percent, 2019-2023","","97.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.2%",""
"Persons without health insurance, under age 65 years, percent","","15.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,191,745",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","4,971,997",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,045,743",""
"Total retail sales, 2022 ($1,000)","(c)","11,766,472",""
"Total retail sales per capita, 2022","(c)","$17,315",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.7",""
"Median households income (in 2023 dollars), 2019-2023","","$97,266",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$48,550",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2022","","14,518",""
"Total employment, 2022","","194,404",""
"Total annual payroll, 2022 ($1,000)","","12,693,507",""
"Total employment, percent change, 2021-2022","","8.7%",""
"Total nonemployer establishments, 2022","","72,729",""
"All employer firms, Reference year 2022","","11,434",""
"Men-owned employer firms, Reference year 2022","","6,559",""
"Women-owned employer firms, Reference year 2022","","2,440",""
"Minority-owned employer firms, Reference year 2022","","2,559",""
"Nonminority-owned employer firms, Reference year 2022","","7,828",""
"Veteran-owned employer firms, Reference year 2022","","600",""
"Nonveteran-owned employer firms, Reference year 2022","","9,771",""
"Population per square mile, 2020","","595.3",""
"Population per square mile, 2010","","437.5",""
"Land area in square miles, 2020","","1,042.18",""
"Land area in square miles, 2010","","1,041.74",""
"FIPS Code","","""48339""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
