"Fact","Fact Note","Nolan County, Texas","Value Note for Nolan County, Texas"
"Population estimates, July 1, 2024, (V2024)","","14,182",""
"Population estimates, July 1, 2023, (V2023)","","14,306",""
"Population estimates base, April 1, 2020, (V2024)","","14,741",""
"Population estimates base, April 1, 2020, (V2023)","","14,734",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.9%",""
"Population, Census, April 1, 2020","","14,738",""
"Population, Census, April 1, 2010","","15,216",""
"Persons under 5 years, percent","","6.2%",""
"Persons under 18 years, percent","","25.0%",""
"Persons 65 years and over, percent","","19.0%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","90.0%",""
"Black alone, percent (a)","(a)","5.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","37.9%",""
"White alone, not Hispanic or Latino, percent","","54.9%",""
"Veterans, 2019-2023","","657",""
"Foreign-born persons, percent, 2019-2023","","4.1%",""
"Housing Units, July 1, 2023, (V2023)","","7,109",""
"Owner-occupied housing unit rate, 2019-2023","","66.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$98,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,398",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$518",""
"Median gross rent, 2019-2023","","$866",""
"Building Permits, 2023","","17",""
"Households, 2019-2023","","5,834",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","22.1%",""
"Households with a computer, percent, 2019-2023","","90.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","80.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","13.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.0%",""
"Persons without health insurance, under age 65 years, percent","","18.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","67,594",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","63,937",""
"Total retail sales, 2022 ($1,000)","(c)","353,388",""
"Total retail sales per capita, 2022","(c)","$24,439",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.6",""
"Median households income (in 2023 dollars), 2019-2023","","$50,160",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$31,045",""
"Persons in poverty, percent","","20.4%",""
"Total employer establishments, 2022","","340",""
"Total employment, 2022","","4,622",""
"Total annual payroll, 2022 ($1,000)","","226,058",""
"Total employment, percent change, 2021-2022","","-0.1%",""
"Total nonemployer establishments, 2022","","941",""
"All employer firms, Reference year 2022","","208",""
"Men-owned employer firms, Reference year 2022","","93",""
"Women-owned employer firms, Reference year 2022","","8",""
"Minority-owned employer firms, Reference year 2022","","10",""
"Nonminority-owned employer firms, Reference year 2022","","117",""
"Veteran-owned employer firms, Reference year 2022","","4",""
"Nonveteran-owned employer firms, Reference year 2022","","117",""
"Population per square mile, 2020","","16.2",""
"Population per square mile, 2010","","16.7",""
"Land area in square miles, 2020","","912.00",""
"Land area in square miles, 2010","","912.00",""
"FIPS Code","","""48353""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
