"Fact","Fact Note","Randall County, Texas","Value Note for Randall County, Texas"
"Population estimates, July 1, 2024, (V2024)","","150,547",""
"Population estimates, July 1, 2023, (V2023)","","148,255",""
"Population estimates base, April 1, 2020, (V2024)","","140,741",""
"Population estimates base, April 1, 2020, (V2023)","","140,755",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.3%",""
"Population, Census, April 1, 2020","","140,753",""
"Population, Census, April 1, 2010","","120,725",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","23.7%",""
"Persons 65 years and over, percent","","16.1%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","90.1%",""
"Black alone, percent (a)","(a)","4.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","25.3%",""
"White alone, not Hispanic or Latino, percent","","66.7%",""
"Veterans, 2019-2023","","10,089",""
"Foreign-born persons, percent, 2019-2023","","5.2%",""
"Housing Units, July 1, 2023, (V2023)","","62,191",""
"Owner-occupied housing unit rate, 2019-2023","","68.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$227,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,739",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$701",""
"Median gross rent, 2019-2023","","$1,119",""
"Building Permits, 2023","","73",""
"Households, 2019-2023","","55,758",""
"Persons per household, 2019-2023","","2.53",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.8%",""
"Households with a computer, percent, 2019-2023","","95.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","32.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","13.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","326,267",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","485,770",""
"Total retail sales, 2022 ($1,000)","(c)","2,775,143",""
"Total retail sales per capita, 2022","(c)","$18,976",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.0",""
"Median households income (in 2023 dollars), 2019-2023","","$80,905",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,758",""
"Persons in poverty, percent","","8.7%",""
"Total employer establishments, 2022","","2,855",""
"Total employment, 2022","","35,008",""
"Total annual payroll, 2022 ($1,000)","","1,717,591",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","12,476",""
"All employer firms, Reference year 2022","","2,253",""
"Men-owned employer firms, Reference year 2022","","1,274",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","1,723",""
"Veteran-owned employer firms, Reference year 2022","","99",""
"Nonveteran-owned employer firms, Reference year 2022","","1,883",""
"Population per square mile, 2020","","154.2",""
"Population per square mile, 2010","","132.4",""
"Land area in square miles, 2020","","912.71",""
"Land area in square miles, 2010","","911.54",""
"FIPS Code","","""48381""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
