"Fact","Fact Note","Terry County, Texas","Value Note for Terry County, Texas"
"Population estimates, July 1, 2024, (V2024)","","11,602",""
"Population estimates, July 1, 2023, (V2023)","","11,547",""
"Population estimates base, April 1, 2020, (V2024)","","11,827",""
"Population estimates base, April 1, 2020, (V2023)","","11,831",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.4%",""
"Population, Census, April 1, 2020","","11,831",""
"Population, Census, April 1, 2010","","12,651",""
"Persons under 5 years, percent","","7.7%",""
"Persons under 18 years, percent","","28.6%",""
"Persons 65 years and over, percent","","15.2%",""
"Female persons, percent","","48.1%",""
"White alone, percent","","91.5%",""
"Black alone, percent (a)","(a)","4.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","57.2%",""
"White alone, not Hispanic or Latino, percent","","37.3%",""
"Veterans, 2019-2023","","503",""
"Foreign-born persons, percent, 2019-2023","","8.8%",""
"Housing Units, July 1, 2023, (V2023)","","4,789",""
"Owner-occupied housing unit rate, 2019-2023","","64.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$111,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,428",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$458",""
"Median gross rent, 2019-2023","","$813",""
"Building Permits, 2023","","1",""
"Households, 2019-2023","","4,271",""
"Persons per household, 2019-2023","","2.56",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","38.2%",""
"Households with a computer, percent, 2019-2023","","92.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","77.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","23.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","57.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,766",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","42,065",""
"Total retail sales, 2022 ($1,000)","(c)","165,300",""
"Total retail sales per capita, 2022","(c)","$14,444",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.9",""
"Median households income (in 2023 dollars), 2019-2023","","$45,905",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$24,987",""
"Persons in poverty, percent","","19.3%",""
"Total employer establishments, 2022","","217",""
"Total employment, 2022","","1,882",""
"Total annual payroll, 2022 ($1,000)","","79,546",""
"Total employment, percent change, 2021-2022","","-9.1%",""
"Total nonemployer establishments, 2022","","858",""
"All employer firms, Reference year 2022","","107",""
"Men-owned employer firms, Reference year 2022","","44",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","8",""
"Nonminority-owned employer firms, Reference year 2022","","60",""
"Veteran-owned employer firms, Reference year 2022","","13",""
"Nonveteran-owned employer firms, Reference year 2022","","55",""
"Population per square mile, 2020","","13.3",""
"Population per square mile, 2010","","14.2",""
"Land area in square miles, 2020","","888.84",""
"Land area in square miles, 2010","","888.84",""
"FIPS Code","","""48445""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
