"Fact","Fact Note","Wise County, Texas","Value Note for Wise County, Texas"
"Population estimates, July 1, 2024, (V2024)","","81,275",""
"Population estimates, July 1, 2023, (V2023)","","78,097",""
"Population estimates base, April 1, 2020, (V2024)","","68,618",""
"Population estimates base, April 1, 2020, (V2023)","","68,631",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","18.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","13.8%",""
"Population, Census, April 1, 2020","","68,632",""
"Population, Census, April 1, 2010","","59,127",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.6%",""
"Persons 65 years and over, percent","","15.9%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","93.6%",""
"Black alone, percent (a)","(a)","2.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","21.5%",""
"White alone, not Hispanic or Latino, percent","","73.5%",""
"Veterans, 2019-2023","","4,388",""
"Foreign-born persons, percent, 2019-2023","","7.5%",""
"Housing Units, July 1, 2023, (V2023)","","27,991",""
"Owner-occupied housing unit rate, 2019-2023","","82.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$277,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,078",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$625",""
"Median gross rent, 2019-2023","","$1,239",""
"Building Permits, 2023","","229",""
"Households, 2019-2023","","24,581",""
"Persons per household, 2019-2023","","2.90",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.4%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","20.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.6%",""
"Persons without health insurance, under age 65 years, percent","","17.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","125,714",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","530,386",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","189,344",""
"Total retail sales, 2022 ($1,000)","(c)","1,457,201",""
"Total retail sales per capita, 2022","(c)","$19,456",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","33.9",""
"Median households income (in 2023 dollars), 2019-2023","","$89,897",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,908",""
"Persons in poverty, percent","","9.4%",""
"Total employer establishments, 2022","","1,523",""
"Total employment, 2022","","18,810",""
"Total annual payroll, 2022 ($1,000)","","1,055,044",""
"Total employment, percent change, 2021-2022","","7.7%",""
"Total nonemployer establishments, 2022","","7,566",""
"All employer firms, Reference year 2022","","1,117",""
"Men-owned employer firms, Reference year 2022","","638",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","75.9",""
"Population per square mile, 2010","","65.4",""
"Land area in square miles, 2020","","904.39",""
"Land area in square miles, 2010","","904.42",""
"FIPS Code","","""48497""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
