"Fact","Fact Note","Salt Lake County, Utah","Value Note for Salt Lake County, Utah"
"Population estimates, July 1, 2024, (V2024)","","1,216,274",""
"Population estimates, July 1, 2023, (V2023)","","1,185,813",""
"Population estimates base, April 1, 2020, (V2024)","","1,185,234",""
"Population estimates base, April 1, 2020, (V2023)","","1,185,230",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","1,185,238",""
"Population, Census, April 1, 2010","","1,029,655",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","24.7%",""
"Persons 65 years and over, percent","","12.4%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","86.1%",""
"Black alone, percent (a)","(a)","2.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.5%",""
"Asian alone, percent (a)","(a)","4.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.9%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent (b)","(b)","20.7%",""
"White alone, not Hispanic or Latino, percent","","67.7%",""
"Veterans, 2019-2023","","34,838",""
"Foreign-born persons, percent, 2019-2023","","13.0%",""
"Housing Units, July 1, 2023, (V2023)","","458,880",""
"Owner-occupied housing unit rate, 2019-2023","","67.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$484,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,045",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$580",""
"Median gross rent, 2019-2023","","$1,493",""
"Building Permits, 2023","","8,315",""
"Households, 2019-2023","","416,589",""
"Persons per household, 2019-2023","","2.80",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.2%",""
"Households with a computer, percent, 2019-2023","","97.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.6%",""
"Persons without health insurance, under age 65 years, percent","","10.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","72.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","66.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,162,917",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","14,106,181",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","11,455,979",""
"Total retail sales, 2022 ($1,000)","(c)","35,264,060",""
"Total retail sales per capita, 2022","(c)","$29,719",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.4",""
"Median households income (in 2023 dollars), 2019-2023","","$94,658",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$43,393",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2022","","35,284",""
"Total employment, 2022","","662,729",""
"Total annual payroll, 2022 ($1,000)","","44,583,494",""
"Total employment, percent change, 2021-2022","","4.4%",""
"Total nonemployer establishments, 2022","","105,745",""
"All employer firms, Reference year 2022","","28,945",""
"Men-owned employer firms, Reference year 2022","","17,956",""
"Women-owned employer firms, Reference year 2022","","4,925",""
"Minority-owned employer firms, Reference year 2022","","3,979",""
"Nonminority-owned employer firms, Reference year 2022","","22,069",""
"Veteran-owned employer firms, Reference year 2022","","1,015",""
"Nonveteran-owned employer firms, Reference year 2022","","25,105",""
"Population per square mile, 2020","","1,597.2",""
"Population per square mile, 2010","","1,387.1",""
"Land area in square miles, 2020","","742.07",""
"Land area in square miles, 2010","","742.28",""
"FIPS Code","","""49035""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
