"Fact","Fact Note","Orleans County, Vermont","Value Note for Orleans County, Vermont"
"Population estimates, July 1, 2024, (V2024)","","27,726",""
"Population estimates, July 1, 2023, (V2023)","","27,516",""
"Population estimates base, April 1, 2020, (V2024)","","27,396",""
"Population estimates base, April 1, 2020, (V2023)","","27,401",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.4%",""
"Population, Census, April 1, 2020","","27,393",""
"Population, Census, April 1, 2010","","27,231",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","23.9%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","95.7%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","2.0%",""
"White alone, not Hispanic or Latino, percent","","94.0%",""
"Veterans, 2019-2023","","1,983",""
"Foreign-born persons, percent, 2019-2023","","3.5%",""
"Housing Units, July 1, 2023, (V2023)","","16,957",""
"Owner-occupied housing unit rate, 2019-2023","","79.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$213,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,568",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$695",""
"Median gross rent, 2019-2023","","$897",""
"Building Permits, 2023","","149",""
"Households, 2019-2023","","11,791",""
"Persons per household, 2019-2023","","2.26",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.0%",""
"Households with a computer, percent, 2019-2023","","92.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.0%",""
"Persons without health insurance, under age 65 years, percent","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","116,999",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","231,732",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","32,740",""
"Total retail sales, 2022 ($1,000)","(c)","512,255",""
"Total retail sales per capita, 2022","(c)","$18,586",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.5",""
"Median households income (in 2023 dollars), 2019-2023","","$66,426",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,459",""
"Persons in poverty, percent","","14.1%",""
"Total employer establishments, 2022","","779",""
"Total employment, 2022","","7,945",""
"Total annual payroll, 2022 ($1,000)","","346,597",""
"Total employment, percent change, 2021-2022","","8.5%",""
"Total nonemployer establishments, 2022","","2,739",""
"All employer firms, Reference year 2022","","719",""
"Men-owned employer firms, Reference year 2022","","394",""
"Women-owned employer firms, Reference year 2022","","106",""
"Minority-owned employer firms, Reference year 2022","","22",""
"Nonminority-owned employer firms, Reference year 2022","","590",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","575",""
"Population per square mile, 2020","","39.4",""
"Population per square mile, 2010","","39.3",""
"Land area in square miles, 2020","","694.51",""
"Land area in square miles, 2010","","693.27",""
"FIPS Code","","""50019""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
