"Fact","Fact Note","Clarke County, Virginia","Value Note for Clarke County, Virginia"
"Population estimates, July 1, 2024, (V2024)","","15,598",""
"Population estimates, July 1, 2023, (V2023)","","15,466",""
"Population estimates base, April 1, 2020, (V2024)","","14,788",""
"Population estimates base, April 1, 2020, (V2023)","","14,787",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","5.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.6%",""
"Population, Census, April 1, 2020","","14,783",""
"Population, Census, April 1, 2010","","14,034",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","19.2%",""
"Persons 65 years and over, percent","","23.6%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","90.6%",""
"Black alone, percent (a)","(a)","4.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","8.4%",""
"White alone, not Hispanic or Latino, percent","","83.4%",""
"Veterans, 2019-2023","","1,177",""
"Foreign-born persons, percent, 2019-2023","","5.8%",""
"Housing Units, July 1, 2023, (V2023)","","6,647",""
"Owner-occupied housing unit rate, 2019-2023","","82.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$538,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,264",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$615",""
"Median gross rent, 2019-2023","","$1,360",""
"Building Permits, 2023","","28",""
"Households, 2019-2023","","5,651",""
"Persons per household, 2019-2023","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.6%",""
"Households with a computer, percent, 2019-2023","","97.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.4%",""
"Persons without health insurance, under age 65 years, percent","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","60.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","D",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","219,637",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","10,257",""
"Total retail sales, 2022 ($1,000)","(c)","127,229",""
"Total retail sales per capita, 2022","(c)","$8,299",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","33.9",""
"Median households income (in 2023 dollars), 2019-2023","","$114,185",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$54,763",""
"Persons in poverty, percent","","7.3%",""
"Total employer establishments, 2022","","375",""
"Total employment, 2022","","2,972",""
"Total annual payroll, 2022 ($1,000)","","145,729",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","1,554",""
"All employer firms, Reference year 2022","","324",""
"Men-owned employer firms, Reference year 2022","","193",""
"Women-owned employer firms, Reference year 2022","","61",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","278",""
"Veteran-owned employer firms, Reference year 2022","","14",""
"Nonveteran-owned employer firms, Reference year 2022","","264",""
"Population per square mile, 2020","","84.0",""
"Population per square mile, 2010","","79.7",""
"Land area in square miles, 2020","","175.93",""
"Land area in square miles, 2010","","176.18",""
"FIPS Code","","""51043""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
