"Fact","Fact Note","Powhatan County, Virginia","Value Note for Powhatan County, Virginia"
"Population estimates, July 1, 2024, (V2024)","","32,392",""
"Population estimates, July 1, 2023, (V2023)","","32,105",""
"Population estimates base, April 1, 2020, (V2024)","","30,342",""
"Population estimates base, April 1, 2020, (V2023)","","30,343",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.8%",""
"Population, Census, April 1, 2020","","30,333",""
"Population, Census, April 1, 2010","","28,046",""
"Persons under 5 years, percent","","4.6%",""
"Persons under 18 years, percent","","18.5%",""
"Persons 65 years and over, percent","","20.6%",""
"Female persons, percent","","48.1%",""
"White alone, percent","","88.5%",""
"Black alone, percent (a)","(a)","8.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.9%",""
"Hispanic or Latino, percent (b)","(b)","3.1%",""
"White alone, not Hispanic or Latino, percent","","85.9%",""
"Veterans, 2019-2023","","2,413",""
"Foreign-born persons, percent, 2019-2023","","2.7%",""
"Housing Units, July 1, 2023, (V2023)","","12,237",""
"Owner-occupied housing unit rate, 2019-2023","","93.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$381,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,968",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$566",""
"Median gross rent, 2019-2023","","$1,107",""
"Building Permits, 2023","","145",""
"Households, 2019-2023","","11,151",""
"Persons per household, 2019-2023","","2.66",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.9%",""
"Households with a computer, percent, 2019-2023","","95.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.6%",""
"Persons without health insurance, under age 65 years, percent","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","35,903",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","14,728",""
"Total retail sales, 2022 ($1,000)","(c)","459,138",""
"Total retail sales per capita, 2022","(c)","$14,537",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","33.4",""
"Median households income (in 2023 dollars), 2019-2023","","$110,667",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$48,796",""
"Persons in poverty, percent","","6.1%",""
"Total employer establishments, 2022","","739",""
"Total employment, 2022","","6,379",""
"Total annual payroll, 2022 ($1,000)","","303,721",""
"Total employment, percent change, 2021-2022","","10.4%",""
"Total nonemployer establishments, 2022","","2,452",""
"All employer firms, Reference year 2022","","634",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","87",""
"Minority-owned employer firms, Reference year 2022","","29",""
"Nonminority-owned employer firms, Reference year 2022","","550",""
"Veteran-owned employer firms, Reference year 2022","","7",""
"Nonveteran-owned employer firms, Reference year 2022","","551",""
"Population per square mile, 2020","","116.6",""
"Population per square mile, 2010","","107.8",""
"Land area in square miles, 2020","","260.20",""
"Land area in square miles, 2010","","260.22",""
"FIPS Code","","""51145""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
