"Fact","Fact Note","Warren County, Virginia","Value Note for Warren County, Virginia"
"Population estimates, July 1, 2024, (V2024)","","42,461",""
"Population estimates, July 1, 2023, (V2023)","","41,843",""
"Population estimates base, April 1, 2020, (V2024)","","40,724",""
"Population estimates base, April 1, 2020, (V2023)","","40,721",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.8%",""
"Population, Census, April 1, 2020","","40,727",""
"Population, Census, April 1, 2010","","37,575",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","21.5%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","89.0%",""
"Black alone, percent (a)","(a)","5.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","7.9%",""
"White alone, not Hispanic or Latino, percent","","82.4%",""
"Veterans, 2019-2023","","2,958",""
"Foreign-born persons, percent, 2019-2023","","6.0%",""
"Housing Units, July 1, 2023, (V2023)","","17,207",""
"Owner-occupied housing unit rate, 2019-2023","","76.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$315,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,808",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$491",""
"Median gross rent, 2019-2023","","$1,199",""
"Building Permits, 2023","","148",""
"Households, 2019-2023","","15,357",""
"Persons per household, 2019-2023","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.8%",""
"Households with a computer, percent, 2019-2023","","95.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","8.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","56.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","114,420",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","188,899",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","169,721",""
"Total retail sales, 2022 ($1,000)","(c)","720,593",""
"Total retail sales per capita, 2022","(c)","$17,404",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","39.7",""
"Median households income (in 2023 dollars), 2019-2023","","$84,331",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,834",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","873",""
"Total employment, 2022","","11,942",""
"Total annual payroll, 2022 ($1,000)","","529,001",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","3,071",""
"All employer firms, Reference year 2022","","767",""
"Men-owned employer firms, Reference year 2022","","430",""
"Women-owned employer firms, Reference year 2022","","160",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","568",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","583",""
"Population per square mile, 2020","","189.8",""
"Population per square mile, 2010","","176.0",""
"Land area in square miles, 2020","","214.60",""
"Land area in square miles, 2010","","213.47",""
"FIPS Code","","""51187""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
