"Fact","Fact Note","Alexandria city (County), Virginia","Value Note for Alexandria city (County), Virginia"
"Population estimates, July 1, 2024, (V2024)","","159,102",""
"Population estimates, July 1, 2023, (V2023)","","155,230",""
"Population estimates base, April 1, 2020, (V2024)","","159,463",""
"Population estimates base, April 1, 2020, (V2023)","","159,464",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.7%",""
"Population, Census, April 1, 2020","","159,467",""
"Population, Census, April 1, 2010","","139,966",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","18.0%",""
"Persons 65 years and over, percent","","13.5%",""
"Female persons, percent","","51.5%",""
"White alone, percent","","65.9%",""
"Black alone, percent (a)","(a)","22.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","6.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.8%",""
"Hispanic or Latino, percent (b)","(b)","18.1%",""
"White alone, not Hispanic or Latino, percent","","50.4%",""
"Veterans, 2019-2023","","10,550",""
"Foreign-born persons, percent, 2019-2023","","24.6%",""
"Housing Units, July 1, 2023, (V2023)","","81,630",""
"Owner-occupied housing unit rate, 2019-2023","","42.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$696,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$3,142",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$1,155",""
"Median gross rent, 2019-2023","","$2,031",""
"Building Permits, 2023","","121",""
"Households, 2019-2023","","75,349",""
"Persons per household, 2019-2023","","2.06",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","80.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","31.0%",""
"Households with a computer, percent, 2019-2023","","97.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","65.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","4.5%",""
"Persons without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","75.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","72.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","771,647",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,428,430",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","179,084",""
"Total retail sales, 2022 ($1,000)","(c)","2,939,369",""
"Total retail sales per capita, 2022","(c)","$18,958",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.3",""
"Median households income (in 2023 dollars), 2019-2023","","$113,638",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$77,935",""
"Persons in poverty, percent","","8.5%",""
"Total employer establishments, 2022","","4,527",""
"Total employment, 2022","","79,867",""
"Total annual payroll, 2022 ($1,000)","","6,089,544",""
"Total employment, percent change, 2021-2022","","3.6%",""
"Total nonemployer establishments, 2022","","18,535",""
"All employer firms, Reference year 2022","","3,360",""
"Men-owned employer firms, Reference year 2022","","1,891",""
"Women-owned employer firms, Reference year 2022","","744",""
"Minority-owned employer firms, Reference year 2022","","692",""
"Nonminority-owned employer firms, Reference year 2022","","2,033",""
"Veteran-owned employer firms, Reference year 2022","","161",""
"Nonveteran-owned employer firms, Reference year 2022","","2,608",""
"Population per square mile, 2020","","10,677.4",""
"Population per square mile, 2010","","9,314.3",""
"Land area in square miles, 2020","","14.94",""
"Land area in square miles, 2010","","15.03",""
"FIPS Code","","""51510""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
