"Fact","Fact Note","Charlottesville city (County), Virginia","Value Note for Charlottesville city (County), Virginia"
"Population estimates, July 1, 2024, (V2024)","","44,767",""
"Population estimates, July 1, 2023, (V2023)","","44,983",""
"Population estimates base, April 1, 2020, (V2024)","","46,513",""
"Population estimates base, April 1, 2020, (V2023)","","46,553",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.4%",""
"Population, Census, April 1, 2020","","46,553",""
"Population, Census, April 1, 2010","","43,475",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","17.0%",""
"Persons 65 years and over, percent","","14.1%",""
"Female persons, percent","","51.9%",""
"White alone, percent","","71.3%",""
"Black alone, percent (a)","(a)","16.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","7.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.9%",""
"Hispanic or Latino, percent (b)","(b)","6.9%",""
"White alone, not Hispanic or Latino, percent","","65.8%",""
"Veterans, 2019-2023","","1,432",""
"Foreign-born persons, percent, 2019-2023","","10.3%",""
"Housing Units, July 1, 2023, (V2023)","","21,729",""
"Owner-occupied housing unit rate, 2019-2023","","43.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$448,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,142",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$670",""
"Median gross rent, 2019-2023","","$1,453",""
"Building Permits, 2023","","59",""
"Households, 2019-2023","","19,699",""
"Persons per household, 2019-2023","","2.17",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","73.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.1%",""
"Households with a computer, percent, 2019-2023","","96.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","60.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","6.3%",""
"Persons without health insurance, under age 65 years, percent","","8.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","482,092",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,129,463",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","21,564",""
"Total retail sales, 2022 ($1,000)","(c)","727,154",""
"Total retail sales per capita, 2022","(c)","$16,062",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","16.9",""
"Median households income (in 2023 dollars), 2019-2023","","$69,829",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$48,395",""
"Persons in poverty, percent","","19.6%",""
"Total employer establishments, 2022","","2,077",""
"Total employment, 2022","","33,771",""
"Total annual payroll, 2022 ($1,000)","","2,166,180",""
"Total employment, percent change, 2021-2022","","6.7%",""
"Total nonemployer establishments, 2022","","4,798",""
"All employer firms, Reference year 2022","","1,646",""
"Men-owned employer firms, Reference year 2022","","869",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","134",""
"Nonminority-owned employer firms, Reference year 2022","","1,194",""
"Veteran-owned employer firms, Reference year 2022","","49",""
"Nonveteran-owned employer firms, Reference year 2022","","1,275",""
"Population per square mile, 2020","","4,544.0",""
"Population per square mile, 2010","","4,246.4",""
"Land area in square miles, 2020","","10.25",""
"Land area in square miles, 2010","","10.24",""
"FIPS Code","","""51540""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
