"Fact","Fact Note","Harrisonburg city (County), Virginia","Value Note for Harrisonburg city (County), Virginia"
"Population estimates, July 1, 2024, (V2024)","","51,164",""
"Population estimates, July 1, 2023, (V2023)","","51,082",""
"Population estimates base, April 1, 2020, (V2024)","","51,811",""
"Population estimates base, April 1, 2020, (V2023)","","51,810",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.4%",""
"Population, Census, April 1, 2020","","51,814",""
"Population, Census, April 1, 2010","","48,914",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","17.4%",""
"Persons 65 years and over, percent","","10.5%",""
"Female persons, percent","","51.7%",""
"White alone, percent","","81.0%",""
"Black alone, percent (a)","(a)","10.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","4.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","23.6%",""
"White alone, not Hispanic or Latino, percent","","61.4%",""
"Veterans, 2019-2023","","1,171",""
"Foreign-born persons, percent, 2019-2023","","17.3%",""
"Housing Units, July 1, 2023, (V2023)","","18,684",""
"Owner-occupied housing unit rate, 2019-2023","","39.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$278,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,495",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$495",""
"Median gross rent, 2019-2023","","$1,120",""
"Building Permits, 2023","","80",""
"Households, 2019-2023","","17,331",""
"Persons per household, 2019-2023","","2.55",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","74.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","27.0%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","36.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","307,014",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","347,184",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","124,007",""
"Total retail sales, 2022 ($1,000)","(c)","1,940,647",""
"Total retail sales per capita, 2022","(c)","$37,940",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","17.1",""
"Median households income (in 2023 dollars), 2019-2023","","$59,752",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$27,957",""
"Persons in poverty, percent","","23.8%",""
"Total employer establishments, 2022","","1,666",""
"Total employment, 2022","","24,867",""
"Total annual payroll, 2022 ($1,000)","","1,022,947",""
"Total employment, percent change, 2021-2022","","2.2%",""
"Total nonemployer establishments, 2022","","3,550",""
"All employer firms, Reference year 2022","","1,213",""
"Men-owned employer firms, Reference year 2022","","651",""
"Women-owned employer firms, Reference year 2022","","222",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","782",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","830",""
"Population per square mile, 2020","","2,988.3",""
"Population per square mile, 2010","","2,808.2",""
"Land area in square miles, 2020","","17.34",""
"Land area in square miles, 2010","","17.42",""
"FIPS Code","","""51660""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
