"Fact","Fact Note","Mason County, Washington","Value Note for Mason County, Washington"
"Population estimates, July 1, 2024, (V2024)","","69,632",""
"Population estimates, July 1, 2023, (V2023)","","68,389",""
"Population estimates base, April 1, 2020, (V2024)","","65,718",""
"Population estimates base, April 1, 2020, (V2023)","","65,723",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","6.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.1%",""
"Population, Census, April 1, 2020","","65,726",""
"Population, Census, April 1, 2010","","60,699",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","19.3%",""
"Persons 65 years and over, percent","","25.0%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","4.9%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.6%",""
"Two or More Races, percent","","4.9%",""
"Hispanic or Latino, percent (b)","(b)","13.2%",""
"White alone, not Hispanic or Latino, percent","","76.7%",""
"Veterans, 2019-2023","","7,319",""
"Foreign-born persons, percent, 2019-2023","","6.8%",""
"Housing Units, July 1, 2023, (V2023)","","34,406",""
"Owner-occupied housing unit rate, 2019-2023","","81.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$377,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,886",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$561",""
"Median gross rent, 2019-2023","","$1,205",""
"Building Permits, 2023","","265",""
"Households, 2019-2023","","25,373",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.0%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.5%",""
"Persons without health insurance, under age 65 years, percent","","10.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","50.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","46.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","228,932",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","258,147",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","37,345",""
"Total retail sales, 2022 ($1,000)","(c)","702,867",""
"Total retail sales per capita, 2022","(c)","$10,310",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","36.4",""
"Median households income (in 2023 dollars), 2019-2023","","$78,359",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,685",""
"Persons in poverty, percent","","12.0%",""
"Total employer establishments, 2022","","1,096",""
"Total employment, 2022","","9,942",""
"Total annual payroll, 2022 ($1,000)","","475,260",""
"Total employment, percent change, 2021-2022","","5.9%",""
"Total nonemployer establishments, 2022","","3,534",""
"All employer firms, Reference year 2022","","1,111",""
"Men-owned employer firms, Reference year 2022","","516",""
"Women-owned employer firms, Reference year 2022","","190",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","859",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","957",""
"Population per square mile, 2020","","68.5",""
"Population per square mile, 2010","","63.3",""
"Land area in square miles, 2020","","959.55",""
"Land area in square miles, 2010","","959.42",""
"FIPS Code","","""53045""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
