"Fact","Fact Note","Braxton County, West Virginia","Value Note for Braxton County, West Virginia"
"Population estimates, July 1, 2024, (V2024)","","12,051",""
"Population estimates, July 1, 2023, (V2023)","","12,162",""
"Population estimates base, April 1, 2020, (V2024)","","12,446",""
"Population estimates base, April 1, 2020, (V2023)","","12,449",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.3%",""
"Population, Census, April 1, 2020","","12,447",""
"Population, Census, April 1, 2010","","14,523",""
"Persons under 5 years, percent","","4.1%",""
"Persons under 18 years, percent","","18.2%",""
"Persons 65 years and over, percent","","25.1%",""
"Female persons, percent","","48.4%",""
"White alone, percent","","96.9%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","0.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.4%",""
"Hispanic or Latino, percent (b)","(b)","0.7%",""
"White alone, not Hispanic or Latino, percent","","96.4%",""
"Veterans, 2019-2023","","985",""
"Foreign-born persons, percent, 2019-2023","","0.1%",""
"Housing Units, July 1, 2023, (V2023)","","6,252",""
"Owner-occupied housing unit rate, 2019-2023","","79.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$106,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$979",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$298",""
"Median gross rent, 2019-2023","","$578",""
"Building Permits, 2023","","3",""
"Households, 2019-2023","","4,733",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","0.6%",""
"Households with a computer, percent, 2019-2023","","84.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","78.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","83.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","11.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","14.2%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","41.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","37.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,746",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","97,469",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","16,899",""
"Total retail sales, 2022 ($1,000)","(c)","390,260",""
"Total retail sales per capita, 2022","(c)","$32,067",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.9",""
"Median households income (in 2023 dollars), 2019-2023","","$44,449",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$23,349",""
"Persons in poverty, percent","","19.7%",""
"Total employer establishments, 2022","","236",""
"Total employment, 2022","","2,732",""
"Total annual payroll, 2022 ($1,000)","","104,134",""
"Total employment, percent change, 2021-2022","","-0.4%",""
"Total nonemployer establishments, 2022","","533",""
"All employer firms, Reference year 2022","","160",""
"Men-owned employer firms, Reference year 2022","","67",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","123",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","121",""
"Population per square mile, 2020","","24.4",""
"Population per square mile, 2010","","28.4",""
"Land area in square miles, 2020","","510.74",""
"Land area in square miles, 2010","","510.81",""
"FIPS Code","","""54007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
