"Fact","Fact Note","Monongalia County, West Virginia","Value Note for Monongalia County, West Virginia"
"Population estimates, July 1, 2024, (V2024)","","108,697",""
"Population estimates, July 1, 2023, (V2023)","","107,718",""
"Population estimates base, April 1, 2020, (V2024)","","105,823",""
"Population estimates base, April 1, 2020, (V2023)","","105,821",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","105,822",""
"Population, Census, April 1, 2010","","96,189",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","16.1%",""
"Persons 65 years and over, percent","","14.0%",""
"Female persons, percent","","48.3%",""
"White alone, percent","","89.7%",""
"Black alone, percent (a)","(a)","3.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","3.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","3.2%",""
"White alone, not Hispanic or Latino, percent","","87.0%",""
"Veterans, 2019-2023","","4,871",""
"Foreign-born persons, percent, 2019-2023","","5.1%",""
"Housing Units, July 1, 2023, (V2023)","","49,939",""
"Owner-occupied housing unit rate, 2019-2023","","57.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$254,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,545",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$427",""
"Median gross rent, 2019-2023","","$943",""
"Building Permits, 2023","","14",""
"Households, 2019-2023","","44,361",""
"Persons per household, 2019-2023","","2.26",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","75.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.8%",""
"Households with a computer, percent, 2019-2023","","95.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","47.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.4%",""
"Persons without health insurance, under age 65 years, percent","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","392,989",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","3,250,519",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","77,929",""
"Total retail sales, 2022 ($1,000)","(c)","2,336,781",""
"Total retail sales per capita, 2022","(c)","$21,844",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.8",""
"Median households income (in 2023 dollars), 2019-2023","","$62,704",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,258",""
"Persons in poverty, percent","","18.3%",""
"Total employer establishments, 2022","","2,472",""
"Total employment, 2022","","50,721",""
"Total annual payroll, 2022 ($1,000)","","2,661,169",""
"Total employment, percent change, 2021-2022","","2.6%",""
"Total nonemployer establishments, 2022","","6,536",""
"All employer firms, Reference year 2022","","1,921",""
"Men-owned employer firms, Reference year 2022","","1,089",""
"Women-owned employer firms, Reference year 2022","","247",""
"Minority-owned employer firms, Reference year 2022","","121",""
"Nonminority-owned employer firms, Reference year 2022","","1,392",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,439",""
"Population per square mile, 2020","","293.9",""
"Population per square mile, 2010","","267.1",""
"Land area in square miles, 2020","","360.09",""
"Land area in square miles, 2010","","360.06",""
"FIPS Code","","""54061""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
