"Fact","Fact Note","Putnam County, West Virginia","Value Note for Putnam County, West Virginia"
"Population estimates, July 1, 2024, (V2024)","","57,067",""
"Population estimates, July 1, 2023, (V2023)","","56,962",""
"Population estimates base, April 1, 2020, (V2024)","","57,436",""
"Population estimates base, April 1, 2020, (V2023)","","57,441",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.8%",""
"Population, Census, April 1, 2020","","57,440",""
"Population, Census, April 1, 2010","","55,486",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","21.2%",""
"Persons 65 years and over, percent","","20.5%",""
"Female persons, percent","","50.5%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","1.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.2%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","1.6%",""
"White alone, not Hispanic or Latino, percent","","94.5%",""
"Veterans, 2019-2023","","3,628",""
"Foreign-born persons, percent, 2019-2023","","1.3%",""
"Housing Units, July 1, 2023, (V2023)","","25,056",""
"Owner-occupied housing unit rate, 2019-2023","","82.7%",""
"Median value of owner-occupied housing units, 2019-2023","","$214,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,537",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$460",""
"Median gross rent, 2019-2023","","$975",""
"Building Permits, 2023","","103",""
"Households, 2019-2023","","22,765",""
"Persons per household, 2019-2023","","2.50",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","92.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.5%",""
"Households with a computer, percent, 2019-2023","","92.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.3%",""
"Persons without health insurance, under age 65 years, percent","","6.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","52.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","117,311",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","369,527",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","127,905",""
"Total retail sales, 2022 ($1,000)","(c)","1,077,554",""
"Total retail sales per capita, 2022","(c)","$18,884",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.4",""
"Median households income (in 2023 dollars), 2019-2023","","$77,871",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,046",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2022","","1,231",""
"Total employment, 2022","","17,916",""
"Total annual payroll, 2022 ($1,000)","","1,004,071",""
"Total employment, percent change, 2021-2022","","5.4%",""
"Total nonemployer establishments, 2022","","3,230",""
"All employer firms, Reference year 2022","","901",""
"Men-owned employer firms, Reference year 2022","","500",""
"Women-owned employer firms, Reference year 2022","","128",""
"Minority-owned employer firms, Reference year 2022","","29",""
"Nonminority-owned employer firms, Reference year 2022","","682",""
"Veteran-owned employer firms, Reference year 2022","","41",""
"Nonveteran-owned employer firms, Reference year 2022","","647",""
"Population per square mile, 2020","","166.2",""
"Population per square mile, 2010","","160.5",""
"Land area in square miles, 2020","","345.68",""
"Land area in square miles, 2010","","345.67",""
"FIPS Code","","""54079""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
