"Fact","Fact Note","Barron County, Wisconsin","Value Note for Barron County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","46,810",""
"Population estimates, July 1, 2023, (V2023)","","46,833",""
"Population estimates base, April 1, 2020, (V2024)","","46,709",""
"Population estimates base, April 1, 2020, (V2023)","","46,726",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.2%",""
"Population, Census, April 1, 2020","","46,711",""
"Population, Census, April 1, 2010","","45,870",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","24.1%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","94.6%",""
"Black alone, percent (a)","(a)","1.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.4%",""
"White alone, not Hispanic or Latino, percent","","91.8%",""
"Veterans, 2019-2023","","2,895",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","24,169",""
"Owner-occupied housing unit rate, 2019-2023","","76.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$198,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,439",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$588",""
"Median gross rent, 2019-2023","","$859",""
"Building Permits, 2023","","165",""
"Households, 2019-2023","","19,613",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.1%",""
"Households with a computer, percent, 2019-2023","","92.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","83.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","93,444",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","465,370",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","138,872",""
"Total retail sales, 2022 ($1,000)","(c)","1,037,162",""
"Total retail sales per capita, 2022","(c)","$22,202",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","20.8",""
"Median households income (in 2023 dollars), 2019-2023","","$64,619",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,937",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2022","","1,366",""
"Total employment, 2022","","17,321",""
"Total annual payroll, 2022 ($1,000)","","797,508",""
"Total employment, percent change, 2021-2022","","-1.5%",""
"Total nonemployer establishments, 2022","","3,442",""
"All employer firms, Reference year 2022","","1,056",""
"Men-owned employer firms, Reference year 2022","","S",""
"Women-owned employer firms, Reference year 2022","","142",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","S",""
"Veteran-owned employer firms, Reference year 2022","","63",""
"Nonveteran-owned employer firms, Reference year 2022","","S",""
"Population per square mile, 2020","","54.1",""
"Population per square mile, 2010","","53.2",""
"Land area in square miles, 2020","","863.05",""
"Land area in square miles, 2010","","862.71",""
"FIPS Code","","""55005""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
