"Fact","Fact Note","Bayfield County, Wisconsin","Value Note for Bayfield County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","16,838",""
"Population estimates, July 1, 2023, (V2023)","","16,769",""
"Population estimates base, April 1, 2020, (V2024)","","16,218",""
"Population estimates base, April 1, 2020, (V2023)","","16,216",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.4%",""
"Population, Census, April 1, 2020","","16,220",""
"Population, Census, April 1, 2010","","15,014",""
"Persons under 5 years, percent","","3.8%",""
"Persons under 18 years, percent","","16.3%",""
"Persons 65 years and over, percent","","32.2%",""
"Female persons, percent","","49.0%",""
"White alone, percent","","86.3%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","9.6%",""
"Asian alone, percent (a)","(a)","0.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.9%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","85.2%",""
"Veterans, 2019-2023","","1,528",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","13,455",""
"Owner-occupied housing unit rate, 2019-2023","","84.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$228,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,441",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$554",""
"Median gross rent, 2019-2023","","$789",""
"Building Permits, 2023","","96",""
"Households, 2019-2023","","7,462",""
"Persons per household, 2019-2023","","2.18",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","3.0%",""
"Households with a computer, percent, 2019-2023","","93.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","96.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.0%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","45,151",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","D",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","41,060",""
"Total retail sales, 2022 ($1,000)","(c)","162,334",""
"Total retail sales per capita, 2022","(c)","$9,745",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.3",""
"Median households income (in 2023 dollars), 2019-2023","","$69,609",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,846",""
"Persons in poverty, percent","","10.0%",""
"Total employer establishments, 2022","","474",""
"Total employment, 2022","","3,053",""
"Total annual payroll, 2022 ($1,000)","","164,268",""
"Total employment, percent change, 2021-2022","","21.9%",""
"Total nonemployer establishments, 2022","","1,596",""
"All employer firms, Reference year 2022","","433",""
"Men-owned employer firms, Reference year 2022","","222",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","29",""
"Nonminority-owned employer firms, Reference year 2022","","368",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","355",""
"Population per square mile, 2020","","11.0",""
"Population per square mile, 2010","","10.2",""
"Land area in square miles, 2020","","1,477.87",""
"Land area in square miles, 2010","","1,477.86",""
"FIPS Code","","""55007""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
