"Fact","Fact Note","Chippewa County, Wisconsin","Value Note for Chippewa County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","67,323",""
"Population estimates, July 1, 2023, (V2023)","","66,970",""
"Population estimates base, April 1, 2020, (V2024)","","66,301",""
"Population estimates base, April 1, 2020, (V2023)","","66,300",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.0%",""
"Population, Census, April 1, 2020","","66,297",""
"Population, Census, April 1, 2010","","62,415",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","20.3%",""
"Female persons, percent","","48.0%",""
"White alone, percent","","94.5%",""
"Black alone, percent (a)","(a)","1.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","2.0%",""
"White alone, not Hispanic or Latino, percent","","92.9%",""
"Veterans, 2019-2023","","4,030",""
"Foreign-born persons, percent, 2019-2023","","1.6%",""
"Housing Units, July 1, 2023, (V2023)","","29,620",""
"Owner-occupied housing unit rate, 2019-2023","","74.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$237,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,536",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$583",""
"Median gross rent, 2019-2023","","$963",""
"Building Permits, 2023","","356",""
"Households, 2019-2023","","26,567",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.0%",""
"Households with a computer, percent, 2019-2023","","92.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.5%",""
"Persons without health insurance, under age 65 years, percent","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","101,305",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","315,081",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","384,770",""
"Total retail sales, 2022 ($1,000)","(c)","1,760,810",""
"Total retail sales per capita, 2022","(c)","$26,378",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.9",""
"Median households income (in 2023 dollars), 2019-2023","","$74,009",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,212",""
"Persons in poverty, percent","","9.0%",""
"Total employer establishments, 2022","","1,659",""
"Total employment, 2022","","22,938",""
"Total annual payroll, 2022 ($1,000)","","1,199,379",""
"Total employment, percent change, 2021-2022","","6.1%",""
"Total nonemployer establishments, 2022","","4,465",""
"All employer firms, Reference year 2022","","1,261",""
"Men-owned employer firms, Reference year 2022","","749",""
"Women-owned employer firms, Reference year 2022","","129",""
"Minority-owned employer firms, Reference year 2022","","33",""
"Nonminority-owned employer firms, Reference year 2022","","1,066",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,005",""
"Population per square mile, 2020","","65.7",""
"Population per square mile, 2010","","61.9",""
"Land area in square miles, 2020","","1,008.36",""
"Land area in square miles, 2010","","1,008.37",""
"FIPS Code","","""55017""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
