"Fact","Fact Note","Dunn County, Wisconsin","Value Note for Dunn County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","46,135",""
"Population estimates, July 1, 2023, (V2023)","","45,794",""
"Population estimates base, April 1, 2020, (V2024)","","45,438",""
"Population estimates base, April 1, 2020, (V2023)","","45,425",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.8%",""
"Population, Census, April 1, 2020","","45,440",""
"Population, Census, April 1, 2010","","43,857",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","19.1%",""
"Persons 65 years and over, percent","","17.3%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","93.5%",""
"Black alone, percent (a)","(a)","0.9%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","3.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.6%",""
"Hispanic or Latino, percent (b)","(b)","2.6%",""
"White alone, not Hispanic or Latino, percent","","91.4%",""
"Veterans, 2019-2023","","2,100",""
"Foreign-born persons, percent, 2019-2023","","2.5%",""
"Housing Units, July 1, 2023, (V2023)","","19,007",""
"Owner-occupied housing unit rate, 2019-2023","","66.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$226,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,547",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$642",""
"Median gross rent, 2019-2023","","$942",""
"Building Permits, 2023","","138",""
"Households, 2019-2023","","17,369",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.7%",""
"Households with a computer, percent, 2019-2023","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","5.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","73,154",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","268,919",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","86,216",""
"Total retail sales, 2022 ($1,000)","(c)","779,321",""
"Total retail sales per capita, 2022","(c)","$17,082",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.4",""
"Median households income (in 2023 dollars), 2019-2023","","$71,785",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,207",""
"Persons in poverty, percent","","10.9%",""
"Total employer establishments, 2022","","924",""
"Total employment, 2022","","15,525",""
"Total annual payroll, 2022 ($1,000)","","841,815",""
"Total employment, percent change, 2021-2022","","1.7%",""
"Total nonemployer establishments, 2022","","2,818",""
"All employer firms, Reference year 2022","","774",""
"Men-owned employer firms, Reference year 2022","","387",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","33",""
"Nonminority-owned employer firms, Reference year 2022","","601",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","581",""
"Population per square mile, 2020","","53.4",""
"Population per square mile, 2010","","51.6",""
"Land area in square miles, 2020","","850.16",""
"Land area in square miles, 2010","","850.11",""
"FIPS Code","","""55033""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
