"Fact","Fact Note","Fond du Lac County, Wisconsin","Value Note for Fond du Lac County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","104,269",""
"Population estimates, July 1, 2023, (V2023)","","103,948",""
"Population estimates base, April 1, 2020, (V2024)","","104,144",""
"Population estimates base, April 1, 2020, (V2023)","","104,160",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.2%",""
"Population, Census, April 1, 2020","","104,154",""
"Population, Census, April 1, 2010","","101,633",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.9%",""
"Persons 65 years and over, percent","","20.4%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","93.0%",""
"Black alone, percent (a)","(a)","2.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","7.0%",""
"White alone, not Hispanic or Latino, percent","","86.9%",""
"Veterans, 2019-2023","","5,785",""
"Foreign-born persons, percent, 2019-2023","","3.4%",""
"Housing Units, July 1, 2023, (V2023)","","46,160",""
"Owner-occupied housing unit rate, 2019-2023","","70.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$209,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,492",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$631",""
"Median gross rent, 2019-2023","","$926",""
"Building Permits, 2023","","133",""
"Households, 2019-2023","","43,016",""
"Persons per household, 2019-2023","","2.34",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.8%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","22.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.0%",""
"Persons without health insurance, under age 65 years, percent","","5.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","214,998",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","1,041,004",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","329,783",""
"Total retail sales, 2022 ($1,000)","(c)","2,162,304",""
"Total retail sales per capita, 2022","(c)","$20,829",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.5",""
"Median households income (in 2023 dollars), 2019-2023","","$73,154",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,436",""
"Persons in poverty, percent","","9.2%",""
"Total employer establishments, 2022","","2,222",""
"Total employment, 2022","","41,989",""
"Total annual payroll, 2022 ($1,000)","","2,267,884",""
"Total employment, percent change, 2021-2022","","1.1%",""
"Total nonemployer establishments, 2022","","5,587",""
"All employer firms, Reference year 2022","","2,254",""
"Men-owned employer firms, Reference year 2022","","1,300",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","79",""
"Nonminority-owned employer firms, Reference year 2022","","1,897",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","1,839",""
"Population per square mile, 2020","","144.7",""
"Population per square mile, 2010","","141.2",""
"Land area in square miles, 2020","","719.57",""
"Land area in square miles, 2010","","719.55",""
"FIPS Code","","""55039""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
