"Fact","Fact Note","Lincoln County, Wisconsin","Value Note for Lincoln County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","28,461",""
"Population estimates, July 1, 2023, (V2023)","","28,405",""
"Population estimates base, April 1, 2020, (V2024)","","28,416",""
"Population estimates base, April 1, 2020, (V2023)","","28,416",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.0%",""
"Population, Census, April 1, 2020","","28,415",""
"Population, Census, April 1, 2010","","28,743",""
"Persons under 5 years, percent","","4.5%",""
"Persons under 18 years, percent","","17.8%",""
"Persons 65 years and over, percent","","24.4%",""
"Female persons, percent","","49.2%",""
"White alone, percent","","95.9%",""
"Black alone, percent (a)","(a)","0.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","94.1%",""
"Veterans, 2019-2023","","1,495",""
"Foreign-born persons, percent, 2019-2023","","1.7%",""
"Housing Units, July 1, 2023, (V2023)","","16,436",""
"Owner-occupied housing unit rate, 2019-2023","","78.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$177,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,328",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$511",""
"Median gross rent, 2019-2023","","$768",""
"Building Permits, 2023","","174",""
"Households, 2019-2023","","12,578",""
"Persons per household, 2019-2023","","2.21",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.3%",""
"Households with a computer, percent, 2019-2023","","91.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","19.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","6.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","47,321",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","87,470",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","75,438",""
"Total retail sales, 2022 ($1,000)","(c)","460,723",""
"Total retail sales per capita, 2022","(c)","$16,248",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.1",""
"Median households income (in 2023 dollars), 2019-2023","","$67,726",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,296",""
"Persons in poverty, percent","","9.9%",""
"Total employer establishments, 2022","","683",""
"Total employment, 2022","","8,624",""
"Total annual payroll, 2022 ($1,000)","","438,677",""
"Total employment, percent change, 2021-2022","","7.1%",""
"Total nonemployer establishments, 2022","","1,705",""
"All employer firms, Reference year 2022","","528",""
"Men-owned employer firms, Reference year 2022","","281",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","414",""
"Veteran-owned employer firms, Reference year 2022","","15",""
"Nonveteran-owned employer firms, Reference year 2022","","417",""
"Population per square mile, 2020","","32.3",""
"Population per square mile, 2010","","32.7",""
"Land area in square miles, 2020","","878.70",""
"Land area in square miles, 2010","","878.97",""
"FIPS Code","","""55069""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
