"Fact","Fact Note","Marathon County, Wisconsin","Value Note for Marathon County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","139,091",""
"Population estimates, July 1, 2023, (V2023)","","138,612",""
"Population estimates base, April 1, 2020, (V2024)","","138,062",""
"Population estimates base, April 1, 2020, (V2023)","","138,026",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.4%",""
"Population, Census, April 1, 2020","","138,013",""
"Population, Census, April 1, 2010","","134,063",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","22.4%",""
"Persons 65 years and over, percent","","19.7%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","89.9%",""
"Black alone, percent (a)","(a)","1.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","6.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","3.6%",""
"White alone, not Hispanic or Latino, percent","","86.8%",""
"Veterans, 2019-2023","","7,625",""
"Foreign-born persons, percent, 2019-2023","","4.2%",""
"Housing Units, July 1, 2023, (V2023)","","60,967",""
"Owner-occupied housing unit rate, 2019-2023","","73.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$205,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,444",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$574",""
"Median gross rent, 2019-2023","","$950",""
"Building Permits, 2023","","396",""
"Households, 2019-2023","","56,873",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.5%",""
"Households with a computer, percent, 2019-2023","","93.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","6.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","276,056",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","2,086,171",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","400,389",""
"Total retail sales, 2022 ($1,000)","(c)","3,647,909",""
"Total retail sales per capita, 2022","(c)","$26,443",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.3",""
"Median households income (in 2023 dollars), 2019-2023","","$76,185",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,970",""
"Persons in poverty, percent","","9.6%",""
"Total employer establishments, 2022","","3,428",""
"Total employment, 2022","","65,241",""
"Total annual payroll, 2022 ($1,000)","","3,553,900",""
"Total employment, percent change, 2021-2022","","4.8%",""
"Total nonemployer establishments, 2022","","8,692",""
"All employer firms, Reference year 2022","","2,725",""
"Men-owned employer firms, Reference year 2022","","1,632",""
"Women-owned employer firms, Reference year 2022","","347",""
"Minority-owned employer firms, Reference year 2022","","116",""
"Nonminority-owned employer firms, Reference year 2022","","2,192",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","2,140",""
"Population per square mile, 2020","","89.3",""
"Population per square mile, 2010","","86.8",""
"Land area in square miles, 2020","","1,545.20",""
"Land area in square miles, 2010","","1,544.98",""
"FIPS Code","","""55073""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
