"Fact","Fact Note","Polk County, Wisconsin","Value Note for Polk County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","45,831",""
"Population estimates, July 1, 2023, (V2023)","","45,762",""
"Population estimates base, April 1, 2020, (V2024)","","44,969",""
"Population estimates base, April 1, 2020, (V2023)","","44,982",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.7%",""
"Population, Census, April 1, 2020","","44,977",""
"Population, Census, April 1, 2010","","44,205",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","19.6%",""
"Persons 65 years and over, percent","","23.2%",""
"Female persons, percent","","49.1%",""
"White alone, percent","","96.1%",""
"Black alone, percent (a)","(a)","0.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","94.3%",""
"Veterans, 2019-2023","","2,963",""
"Foreign-born persons, percent, 2019-2023","","1.2%",""
"Housing Units, July 1, 2023, (V2023)","","24,778",""
"Owner-occupied housing unit rate, 2019-2023","","81.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$241,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,557",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$621",""
"Median gross rent, 2019-2023","","$958",""
"Building Permits, 2023","","257",""
"Households, 2019-2023","","18,829",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","91.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","1.9%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.0%",""
"Persons without health insurance, under age 65 years, percent","","7.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","68,781",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","404,967",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","27,802",""
"Total retail sales, 2022 ($1,000)","(c)","761,306",""
"Total retail sales per capita, 2022","(c)","$16,715",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.5",""
"Median households income (in 2023 dollars), 2019-2023","","$76,208",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,402",""
"Persons in poverty, percent","","9.1%",""
"Total employer establishments, 2022","","1,163",""
"Total employment, 2022","","14,296",""
"Total annual payroll, 2022 ($1,000)","","676,698",""
"Total employment, percent change, 2021-2022","","1.8%",""
"Total nonemployer establishments, 2022","","3,519",""
"All employer firms, Reference year 2022","","1,043",""
"Men-owned employer firms, Reference year 2022","","510",""
"Women-owned employer firms, Reference year 2022","","220",""
"Minority-owned employer firms, Reference year 2022","","4",""
"Nonminority-owned employer firms, Reference year 2022","","928",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","849",""
"Population per square mile, 2020","","49.2",""
"Population per square mile, 2010","","48.4",""
"Land area in square miles, 2020","","914.32",""
"Land area in square miles, 2010","","913.96",""
"FIPS Code","","""55095""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
