"Fact","Fact Note","Washburn County, Wisconsin","Value Note for Washburn County, Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","16,982",""
"Population estimates, July 1, 2023, (V2023)","","16,930",""
"Population estimates base, April 1, 2020, (V2024)","","16,629",""
"Population estimates base, April 1, 2020, (V2023)","","16,623",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","16,623",""
"Population, Census, April 1, 2010","","15,911",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","18.0%",""
"Persons 65 years and over, percent","","28.5%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","95.4%",""
"Black alone, percent (a)","(a)","0.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.6%",""
"Asian alone, percent (a)","(a)","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","1.8%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","93.6%",""
"Veterans, 2019-2023","","1,317",""
"Foreign-born persons, percent, 2019-2023","","1.5%",""
"Housing Units, July 1, 2023, (V2023)","","12,976",""
"Owner-occupied housing unit rate, 2019-2023","","80.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$207,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,299",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$540",""
"Median gross rent, 2019-2023","","$815",""
"Building Permits, 2023","","110",""
"Households, 2019-2023","","7,529",""
"Persons per household, 2019-2023","","2.19",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","92.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.9%",""
"Persons without health insurance, under age 65 years, percent","","8.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","42,986",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","95,475",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","26,073",""
"Total retail sales, 2022 ($1,000)","(c)","299,950",""
"Total retail sales per capita, 2022","(c)","$17,779",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.1",""
"Median households income (in 2023 dollars), 2019-2023","","$61,270",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$36,411",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2022","","516",""
"Total employment, 2022","","4,310",""
"Total annual payroll, 2022 ($1,000)","","174,439",""
"Total employment, percent change, 2021-2022","","2.5%",""
"Total nonemployer establishments, 2022","","1,526",""
"All employer firms, Reference year 2022","","455",""
"Men-owned employer firms, Reference year 2022","","286",""
"Women-owned employer firms, Reference year 2022","","36",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","361",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","345",""
"Population per square mile, 2020","","20.9",""
"Population per square mile, 2010","","20.0",""
"Land area in square miles, 2020","","797.11",""
"Land area in square miles, 2010","","797.11",""
"FIPS Code","","""55129""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
