"Fact","Fact Note","Natrona County, Wyoming","Value Note for Natrona County, Wyoming"
"Population estimates, July 1, 2024, (V2024)","","80,410",""
"Population estimates, July 1, 2023, (V2023)","","79,941",""
"Population estimates base, April 1, 2020, (V2024)","","79,964",""
"Population estimates base, April 1, 2020, (V2023)","","79,966",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.0%",""
"Population, Census, April 1, 2020","","79,955",""
"Population, Census, April 1, 2010","","75,450",""
"Persons under 5 years, percent","","5.5%",""
"Persons under 18 years, percent","","23.2%",""
"Persons 65 years and over, percent","","17.8%",""
"Female persons, percent","","49.5%",""
"White alone, percent","","93.7%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","9.6%",""
"White alone, not Hispanic or Latino, percent","","85.5%",""
"Veterans, 2019-2023","","4,918",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","37,531",""
"Owner-occupied housing unit rate, 2019-2023","","73.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$260,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,610",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$473",""
"Median gross rent, 2019-2023","","$973",""
"Building Permits, 2023","","218",""
"Households, 2019-2023","","33,285",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.8%",""
"Households with a computer, percent, 2019-2023","","95.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.9%",""
"Persons without health insurance, under age 65 years, percent","","13.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","257,550",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","917,597",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","421,888",""
"Total retail sales, 2022 ($1,000)","(c)","1,975,223",""
"Total retail sales per capita, 2022","(c)","$24,838",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.5",""
"Median households income (in 2023 dollars), 2019-2023","","$71,247",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,978",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","2,999",""
"Total employment, 2022","","31,750",""
"Total annual payroll, 2022 ($1,000)","","1,754,277",""
"Total employment, percent change, 2021-2022","","4.0%",""
"Total nonemployer establishments, 2022","","7,227",""
"All employer firms, Reference year 2022","","2,418",""
"Men-owned employer firms, Reference year 2022","","1,267",""
"Women-owned employer firms, Reference year 2022","","362",""
"Minority-owned employer firms, Reference year 2022","","136",""
"Nonminority-owned employer firms, Reference year 2022","","1,851",""
"Veteran-owned employer firms, Reference year 2022","","119",""
"Nonveteran-owned employer firms, Reference year 2022","","1,832",""
"Population per square mile, 2020","","15.0",""
"Population per square mile, 2010","","14.1",""
"Land area in square miles, 2020","","5,340.54",""
"Land area in square miles, 2010","","5,340.35",""
"FIPS Code","","""56025""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
