"Fact","Fact Note","Arkansas","Value Note for Arkansas"
"Population estimates, July 1, 2024, (V2024)","","3,088,354",""
"Population estimates, July 1, 2023, (V2023)","","3,067,732",""
"Population estimates base, April 1, 2020, (V2024)","","3,011,553",""
"Population estimates base, April 1, 2020, (V2023)","","3,011,490",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.9%",""
"Population, Census, April 1, 2020","","3,011,524",""
"Population, Census, April 1, 2010","","2,915,918",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","18.0%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","78.4%",""
"Black alone, percent (a)","(a)","15.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.5%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","9.2%",""
"White alone, not Hispanic or Latino, percent","","70.2%",""
"Veterans, 2019-2023","","176,468",""
"Foreign-born persons, percent, 2019-2023","","5.2%",""
"Housing Units, July 1, 2023, (V2023)","","1,409,134",""
"Owner-occupied housing unit rate, 2019-2023","","66.1%",""
"Median value of owner-occupied housing units, 2019-2023","","$175,300",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,297",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$422",""
"Median gross rent, 2019-2023","","$914",""
"Building Permits, 2023","","12,842",""
"Households, 2019-2023","","1,189,160",""
"Persons per household, 2019-2023","","2.48",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.1%",""
"Households with a computer, percent, 2019-2023","","92.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","25.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.1%",""
"Persons without health insurance, under age 65 years, percent","","10.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","54.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","7,413,835",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","27,283,841",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","14,045,662",""
"Total retail sales, 2022 ($1,000)","(c)","61,595,202",""
"Total retail sales per capita, 2022","(c)","$20,219",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.3",""
"Median households income (in 2023 dollars), 2019-2023","","$58,773",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$33,147",""
"Persons in poverty, percent","","15.7%",""
"Total employer establishments, 2022","","69,634",""
"Total employment, 2022","","1,089,044",""
"Total annual payroll, 2022 ($1,000)","","56,607,098",""
"Total employment, percent change, 2021-2022","","5.8%",""
"Total nonemployer establishments, 2022","","241,619",""
"All employer firms, Reference year 2022","","47,861",""
"Men-owned employer firms, Reference year 2022","","26,885",""
"Women-owned employer firms, Reference year 2022","","9,495",""
"Minority-owned employer firms, Reference year 2022","","5,407",""
"Nonminority-owned employer firms, Reference year 2022","","38,293",""
"Veteran-owned employer firms, Reference year 2022","","2,784",""
"Nonveteran-owned employer firms, Reference year 2022","","40,031",""
"Population per square mile, 2020","","57.9",""
"Population per square mile, 2010","","56.0",""
"Land area in square miles, 2020","","51,992.85",""
"Land area in square miles, 2010","","52,035.48",""
"FIPS Code","","""05""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
