"Fact","Fact Note","Colorado","Value Note for Colorado"
"Population estimates, July 1, 2024, (V2024)","","5,957,493",""
"Population estimates, July 1, 2023, (V2023)","","5,877,610",""
"Population estimates base, April 1, 2020, (V2024)","","5,775,324",""
"Population estimates base, April 1, 2020, (V2023)","","5,773,707",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%",""
"Population, Census, April 1, 2020","","5,773,714",""
"Population, Census, April 1, 2010","","5,029,196",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.7%",""
"Persons 65 years and over, percent","","16.0%",""
"Female persons, percent","","49.4%",""
"White alone, percent","","86.0%",""
"Black alone, percent (a)","(a)","4.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","3.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","22.7%",""
"White alone, not Hispanic or Latino, percent","","66.1%",""
"Veterans, 2019-2023","","348,913",""
"Foreign-born persons, percent, 2019-2023","","9.6%",""
"Housing Units, July 1, 2023, (V2023)","","2,638,724",""
"Owner-occupied housing unit rate, 2019-2023","","66.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$502,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,231",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$624",""
"Median gross rent, 2019-2023","","$1,693",""
"Building Permits, 2023","","39,404",""
"Households, 2019-2023","","2,325,576",""
"Persons per household, 2019-2023","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","16.1%",""
"Households with a computer, percent, 2019-2023","","96.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","44.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","7.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","63.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","26,052,155",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","52,722,035",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","24,917,676",""
"Total retail sales, 2022 ($1,000)","(c)","120,881,315",""
"Total retail sales per capita, 2022","(c)","$20,695",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.5",""
"Median households income (in 2023 dollars), 2019-2023","","$92,470",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$50,489",""
"Persons in poverty, percent","","9.3%",""
"Total employer establishments, 2022","","181,963",""
"Total employment, 2022","","2,481,196",""
"Total annual payroll, 2022 ($1,000)","","169,057,790",""
"Total employment, percent change, 2021-2022","","2.7%",""
"Total nonemployer establishments, 2022","","583,986",""
"All employer firms, Reference year 2022","","140,676",""
"Men-owned employer firms, Reference year 2022","","81,281",""
"Women-owned employer firms, Reference year 2022","","34,796",""
"Minority-owned employer firms, Reference year 2022","","20,019",""
"Nonminority-owned employer firms, Reference year 2022","","110,261",""
"Veteran-owned employer firms, Reference year 2022","","7,631",""
"Nonveteran-owned employer firms, Reference year 2022","","123,091",""
"Population per square mile, 2020","","55.7",""
"Population per square mile, 2010","","48.5",""
"Land area in square miles, 2020","","103,637.06",""
"Land area in square miles, 2010","","103,641.89",""
"FIPS Code","","""08""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
