"Fact","Fact Note","Connecticut","Value Note for Connecticut"
"Population estimates, July 1, 2024, (V2024)","","3,675,069",""
"Population estimates, July 1, 2023, (V2023)","","3,617,176",""
"Population estimates base, April 1, 2020, (V2024)","","3,607,701",""
"Population estimates base, April 1, 2020, (V2023)","","3,605,912",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%",""
"Population, Census, April 1, 2020","","3,605,944",""
"Population, Census, April 1, 2010","","3,574,097",""
"Persons under 5 years, percent","","5.0%",""
"Persons under 18 years, percent","","20.0%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","78.0%",""
"Black alone, percent (a)","(a)","13.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","5.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","18.6%",""
"White alone, not Hispanic or Latino, percent","","63.3%",""
"Veterans, 2019-2023","","140,081",""
"Foreign-born persons, percent, 2019-2023","","15.4%",""
"Housing Units, July 1, 2023, (V2023)","","1,546,032",""
"Owner-occupied housing unit rate, 2019-2023","","66.2%",""
"Median value of owner-occupied housing units, 2019-2023","","$343,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,383",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$1,052",""
"Median gross rent, 2019-2023","","$1,431",""
"Building Permits, 2023","","6,272",""
"Households, 2019-2023","","1,420,170",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","23.0%",""
"Households with a computer, percent, 2019-2023","","94.8%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","41.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.4%",""
"Persons without health insurance, under age 65 years, percent","","6.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","12,385,868",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","45,537,226",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","7,998,394",""
"Total retail sales, 2022 ($1,000)","(c)","72,459,098",""
"Total retail sales per capita, 2022","(c)","$20,079",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.6",""
"Median households income (in 2023 dollars), 2019-2023","","$93,760",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$54,409",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2022","","89,293",""
"Total employment, 2022","","1,508,634",""
"Total annual payroll, 2022 ($1,000)","","112,497,475",""
"Total employment, percent change, 2021-2022","","4.6%",""
"Total nonemployer establishments, 2022","","312,711",""
"All employer firms, Reference year 2022","","65,594",""
"Men-owned employer firms, Reference year 2022","","42,710",""
"Women-owned employer firms, Reference year 2022","","12,321",""
"Minority-owned employer firms, Reference year 2022","","11,324",""
"Nonminority-owned employer firms, Reference year 2022","","48,443",""
"Veteran-owned employer firms, Reference year 2022","","2,641",""
"Nonveteran-owned employer firms, Reference year 2022","","56,929",""
"Population per square mile, 2020","","744.7",""
"Population per square mile, 2010","","738.1",""
"Land area in square miles, 2020","","4,842.37",""
"Land area in square miles, 2010","","4,842.36",""
"FIPS Code","","""09""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
