"Fact","Fact Note","Idaho","Value Note for Idaho"
"Population estimates, July 1, 2024, (V2024)","","2,001,619",""
"Population estimates, July 1, 2023, (V2023)","","1,964,726",""
"Population estimates base, April 1, 2020, (V2024)","","1,839,140",""
"Population estimates base, April 1, 2020, (V2023)","","1,839,117",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","8.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","6.8%",""
"Population, Census, April 1, 2020","","1,839,106",""
"Population, Census, April 1, 2010","","1,567,582",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.8%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","92.5%",""
"Black alone, percent (a)","(a)","1.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","13.8%",""
"White alone, not Hispanic or Latino, percent","","80.3%",""
"Veterans, 2019-2023","","117,609",""
"Foreign-born persons, percent, 2019-2023","","5.7%",""
"Housing Units, July 1, 2023, (V2023)","","815,293",""
"Owner-occupied housing unit rate, 2019-2023","","72.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$376,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,610",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$474",""
"Median gross rent, 2019-2023","","$1,150",""
"Building Permits, 2023","","17,919",""
"Households, 2019-2023","","693,821",""
"Persons per household, 2019-2023","","2.66",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.7%",""
"Households with a computer, percent, 2019-2023","","95.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.8%",""
"Persons without health insurance, under age 65 years, percent","","10.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,223,656",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","15,920,372",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","4,802,084",""
"Total retail sales, 2022 ($1,000)","(c)","40,607,614",""
"Total retail sales per capita, 2022","(c)","$20,943",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","21.6",""
"Median households income (in 2023 dollars), 2019-2023","","$74,636",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,169",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2022","","57,209",""
"Total employment, 2022","","689,589",""
"Total annual payroll, 2022 ($1,000)","","36,567,889",""
"Total employment, percent change, 2021-2022","","6.9%",""
"Total nonemployer establishments, 2022","","160,914",""
"All employer firms, Reference year 2022","","44,406",""
"Men-owned employer firms, Reference year 2022","","24,157",""
"Women-owned employer firms, Reference year 2022","","8,111",""
"Minority-owned employer firms, Reference year 2022","","3,944",""
"Nonminority-owned employer firms, Reference year 2022","","36,871",""
"Veteran-owned employer firms, Reference year 2022","","1,993",""
"Nonveteran-owned employer firms, Reference year 2022","","38,362",""
"Population per square mile, 2020","","22.3",""
"Population per square mile, 2010","","19.0",""
"Land area in square miles, 2020","","82,645.14",""
"Land area in square miles, 2010","","82,643.12",""
"FIPS Code","","""16""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
