"Fact","Fact Note","Illinois","Value Note for Illinois"
"Population estimates, July 1, 2024, (V2024)","","12,710,158",""
"Population estimates, July 1, 2023, (V2023)","","12,549,689",""
"Population estimates base, April 1, 2020, (V2024)","","12,821,814",""
"Population estimates base, April 1, 2020, (V2023)","","12,813,469",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-2.1%",""
"Population, Census, April 1, 2020","","12,812,508",""
"Population, Census, April 1, 2010","","12,830,632",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.6%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","76.0%",""
"Black alone, percent (a)","(a)","14.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","6.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","19.0%",""
"White alone, not Hispanic or Latino, percent","","58.8%",""
"Veterans, 2019-2023","","493,667",""
"Foreign-born persons, percent, 2019-2023","","14.4%",""
"Housing Units, July 1, 2023, (V2023)","","5,471,027",""
"Owner-occupied housing unit rate, 2019-2023","","66.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$250,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,950",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$767",""
"Median gross rent, 2019-2023","","$1,227",""
"Building Permits, 2023","","16,863",""
"Households, 2019-2023","","5,001,904",""
"Persons per household, 2019-2023","","2.48",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","23.8%",""
"Households with a computer, percent, 2019-2023","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","7.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.6%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","41,754,998",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","125,256,366",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","73,661,560",""
"Total retail sales, 2022 ($1,000)","(c)","244,721,614",""
"Total retail sales per capita, 2022","(c)","$19,449",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.1",""
"Median households income (in 2023 dollars), 2019-2023","","$81,702",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$45,104",""
"Persons in poverty, percent","","11.6%",""
"Total employer establishments, 2022","","322,349",""
"Total employment, 2022","","5,533,883",""
"Total annual payroll, 2022 ($1,000)","","383,875,437",""
"Total employment, percent change, 2021-2022","","5.0%",""
"Total nonemployer establishments, 2022","","1,100,655",""
"All employer firms, Reference year 2022","","239,318",""
"Men-owned employer firms, Reference year 2022","","153,281",""
"Women-owned employer firms, Reference year 2022","","52,121",""
"Minority-owned employer firms, Reference year 2022","","48,274",""
"Nonminority-owned employer firms, Reference year 2022","","176,697",""
"Veteran-owned employer firms, Reference year 2022","","8,211",""
"Nonveteran-owned employer firms, Reference year 2022","","216,103",""
"Population per square mile, 2020","","230.8",""
"Population per square mile, 2010","","231.1",""
"Land area in square miles, 2020","","55,513.18",""
"Land area in square miles, 2010","","55,518.93",""
"FIPS Code","","""17""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
