"Fact","Fact Note","Louisiana","Value Note for Louisiana"
"Population estimates, July 1, 2024, (V2024)","","4,597,740",""
"Population estimates, July 1, 2023, (V2023)","","4,573,749",""
"Population estimates base, April 1, 2020, (V2024)","","4,657,874",""
"Population estimates base, April 1, 2020, (V2023)","","4,657,785",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.8%",""
"Population, Census, April 1, 2020","","4,657,757",""
"Population, Census, April 1, 2010","","4,533,372",""
"Persons under 5 years, percent","","6.1%",""
"Persons under 18 years, percent","","23.3%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","51.1%",""
"White alone, percent","","62.6%",""
"Black alone, percent (a)","(a)","32.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.9%",""
"Asian alone, percent (a)","(a)","1.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","7.3%",""
"White alone, not Hispanic or Latino, percent","","56.6%",""
"Veterans, 2019-2023","","217,225",""
"Foreign-born persons, percent, 2019-2023","","4.7%",""
"Housing Units, July 1, 2023, (V2023)","","2,124,961",""
"Owner-occupied housing unit rate, 2019-2023","","67.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$208,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,543",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$418",""
"Median gross rent, 2019-2023","","$1,038",""
"Building Permits, 2023","","14,247",""
"Households, 2019-2023","","1,783,168",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.3%",""
"Households with a computer, percent, 2019-2023","","92.3%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","26.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.8%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,736,934",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","44,396,044",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","20,463,993",""
"Total retail sales, 2022 ($1,000)","(c)","88,782,523",""
"Total retail sales per capita, 2022","(c)","$19,351",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.8",""
"Median households income (in 2023 dollars), 2019-2023","","$60,023",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,211",""
"Persons in poverty, percent","","18.9%",""
"Total employer establishments, 2022","","108,161",""
"Total employment, 2022","","1,644,036",""
"Total annual payroll, 2022 ($1,000)","","90,475,354",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","430,224",""
"All employer firms, Reference year 2022","","76,821",""
"Men-owned employer firms, Reference year 2022","","45,597",""
"Women-owned employer firms, Reference year 2022","","15,396",""
"Minority-owned employer firms, Reference year 2022","","11,136",""
"Nonminority-owned employer firms, Reference year 2022","","59,849",""
"Veteran-owned employer firms, Reference year 2022","","4,031",""
"Nonveteran-owned employer firms, Reference year 2022","","66,252",""
"Population per square mile, 2020","","107.8",""
"Population per square mile, 2010","","104.9",""
"Land area in square miles, 2020","","43,210.23",""
"Land area in square miles, 2010","","43,203.90",""
"FIPS Code","","""22""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
