"Fact","Fact Note","Maine","Value Note for Maine"
"Population estimates, July 1, 2024, (V2024)","","1,405,012",""
"Population estimates, July 1, 2023, (V2023)","","1,395,722",""
"Population estimates base, April 1, 2020, (V2024)","","1,363,196",""
"Population estimates base, April 1, 2020, (V2023)","","1,363,177",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.4%",""
"Population, Census, April 1, 2020","","1,362,359",""
"Population, Census, April 1, 2010","","1,328,361",""
"Persons under 5 years, percent","","4.4%",""
"Persons under 18 years, percent","","17.8%",""
"Persons 65 years and over, percent","","23.0%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","93.7%",""
"Black alone, percent (a)","(a)","2.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.0%",""
"Hispanic or Latino, percent (b)","(b)","2.3%",""
"White alone, not Hispanic or Latino, percent","","91.8%",""
"Veterans, 2019-2023","","97,871",""
"Foreign-born persons, percent, 2019-2023","","3.9%",""
"Housing Units, July 1, 2023, (V2023)","","758,815",""
"Owner-occupied housing unit rate, 2019-2023","","74.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$266,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,657",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$615",""
"Median gross rent, 2019-2023","","$1,084",""
"Building Permits, 2023","","6,183","1"
"Households, 2019-2023","","589,085",""
"Persons per household, 2019-2023","","2.27",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.0%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.4%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,173,608",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","15,847,310",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,756,874",""
"Total retail sales, 2022 ($1,000)","(c)","34,415,647",""
"Total retail sales per capita, 2022","(c)","$24,771",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.4",""
"Median households income (in 2023 dollars), 2019-2023","","$71,773",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,035",""
"Persons in poverty, percent","","10.4%",""
"Total employer establishments, 2022","","43,185",""
"Total employment, 2022","","533,151",""
"Total annual payroll, 2022 ($1,000)","","29,597,269",""
"Total employment, percent change, 2021-2022","","5.6%",""
"Total nonemployer establishments, 2022","","125,923",""
"All employer firms, Reference year 2022","","32,898",""
"Men-owned employer firms, Reference year 2022","","19,497",""
"Women-owned employer firms, Reference year 2022","","6,522",""
"Minority-owned employer firms, Reference year 2022","","1,291",""
"Nonminority-owned employer firms, Reference year 2022","","28,647",""
"Veteran-owned employer firms, Reference year 2022","","1,734",""
"Nonveteran-owned employer firms, Reference year 2022","","27,711",""
"Population per square mile, 2020","","44.2",""
"Population per square mile, 2010","","43.1",""
"Land area in square miles, 2020","","30,845.10",""
"Land area in square miles, 2010","","30,842.92",""
"FIPS Code","","""23""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"1","Includes data not distributed by county.","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
