"Fact","Fact Note","Maryland","Value Note for Maryland"
"Population estimates, July 1, 2024, (V2024)","","6,263,220",""
"Population estimates, July 1, 2023, (V2023)","","6,180,253",""
"Population estimates base, April 1, 2020, (V2024)","","6,181,629",""
"Population estimates base, April 1, 2020, (V2023)","","6,177,253",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","Z",""
"Population, Census, April 1, 2020","","6,177,224",""
"Population, Census, April 1, 2010","","5,773,552",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","17.3%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","57.2%",""
"Black alone, percent (a)","(a)","31.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","7.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent (b)","(b)","12.6%",""
"White alone, not Hispanic or Latino, percent","","47.3%",""
"Veterans, 2019-2023","","332,655",""
"Foreign-born persons, percent, 2019-2023","","16.3%",""
"Housing Units, July 1, 2023, (V2023)","","2,572,412",""
"Owner-occupied housing unit rate, 2019-2023","","67.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$397,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,301",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$728",""
"Median gross rent, 2019-2023","","$1,662",""
"Building Permits, 2023","","18,453",""
"Households, 2019-2023","","2,339,510",""
"Persons per household, 2019-2023","","2.58",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","20.6%",""
"Households with a computer, percent, 2019-2023","","96.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","91.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","42.7%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.9%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","66.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","20,916,724",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","64,555,492",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","12,983,437",""
"Total retail sales, 2022 ($1,000)","(c)","115,211,858",""
"Total retail sales per capita, 2022","(c)","$18,691",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","31.5",""
"Median households income (in 2023 dollars), 2019-2023","","$101,652",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$51,689",""
"Persons in poverty, percent","","9.5%",""
"Total employer establishments, 2022","","142,481",""
"Total employment, 2022","","2,436,501",""
"Total annual payroll, 2022 ($1,000)","","159,490,571",""
"Total employment, percent change, 2021-2022","","6.7%",""
"Total nonemployer establishments, 2022","","586,327",""
"All employer firms, Reference year 2022","","104,151",""
"Men-owned employer firms, Reference year 2022","","63,745",""
"Women-owned employer firms, Reference year 2022","","24,360",""
"Minority-owned employer firms, Reference year 2022","","30,011",""
"Nonminority-owned employer firms, Reference year 2022","","66,549",""
"Veteran-owned employer firms, Reference year 2022","","5,747",""
"Nonveteran-owned employer firms, Reference year 2022","","90,504",""
"Population per square mile, 2020","","636.1",""
"Population per square mile, 2010","","594.8",""
"Land area in square miles, 2020","","9,711.20",""
"Land area in square miles, 2010","","9,707.24",""
"FIPS Code","","""24""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
