"Fact","Fact Note","Michigan","Value Note for Michigan"
"Population estimates, July 1, 2024, (V2024)","","10,140,459",""
"Population estimates, July 1, 2023, (V2023)","","10,037,261",""
"Population estimates base, April 1, 2020, (V2024)","","10,079,338",""
"Population estimates base, April 1, 2020, (V2023)","","10,077,674",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.4%",""
"Population, Census, April 1, 2020","","10,077,331",""
"Population, Census, April 1, 2010","","9,883,640",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.0%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","78.7%",""
"Black alone, percent (a)","(a)","14.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.8%",""
"Asian alone, percent (a)","(a)","3.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","6.0%",""
"White alone, not Hispanic or Latino, percent","","73.7%",""
"Veterans, 2019-2023","","479,115",""
"Foreign-born persons, percent, 2019-2023","","7.0%",""
"Housing Units, July 1, 2023, (V2023)","","4,643,473",""
"Owner-occupied housing unit rate, 2019-2023","","72.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$217,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,521",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$587",""
"Median gross rent, 2019-2023","","$1,084",""
"Building Permits, 2023","","20,592","1"
"Households, 2019-2023","","4,040,168",""
"Persons per household, 2019-2023","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","10.2%",""
"Households with a computer, percent, 2019-2023","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","5.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","28,012,061",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","94,603,501",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","35,592,313",""
"Total retail sales, 2022 ($1,000)","(c)","190,534,346",""
"Total retail sales per capita, 2022","(c)","$18,990",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.4",""
"Median households income (in 2023 dollars), 2019-2023","","$71,149",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,538",""
"Persons in poverty, percent","","13.5%",""
"Total employer establishments, 2022","","227,870",""
"Total employment, 2022","","3,939,076",""
"Total annual payroll, 2022 ($1,000)","","232,710,964",""
"Total employment, percent change, 2021-2022","","4.5%",""
"Total nonemployer establishments, 2022","","809,426",""
"All employer firms, Reference year 2022","","163,220",""
"Men-owned employer firms, Reference year 2022","","106,444",""
"Women-owned employer firms, Reference year 2022","","31,497",""
"Minority-owned employer firms, Reference year 2022","","16,643",""
"Nonminority-owned employer firms, Reference year 2022","","136,115",""
"Veteran-owned employer firms, Reference year 2022","","5,465",""
"Nonveteran-owned employer firms, Reference year 2022","","146,553",""
"Population per square mile, 2020","","178.0",""
"Population per square mile, 2010","","174.8",""
"Land area in square miles, 2020","","56,608.22",""
"Land area in square miles, 2010","","56,538.90",""
"FIPS Code","","""26""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"1","Includes data not distributed by county.","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
