"Fact","Fact Note","New York","Value Note for New York"
"Population estimates, July 1, 2024, (V2024)","","19,867,248",""
"Population estimates, July 1, 2023, (V2023)","","19,571,216",""
"Population estimates base, April 1, 2020, (V2024)","","20,203,772",""
"Population estimates base, April 1, 2020, (V2023)","","20,202,320",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-3.1%",""
"Population, Census, April 1, 2020","","20,201,249",""
"Population, Census, April 1, 2010","","19,378,102",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","20.2%",""
"Persons 65 years and over, percent","","18.6%",""
"Female persons, percent","","51.2%",""
"White alone, percent","","68.5%",""
"Black alone, percent (a)","(a)","17.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.1%",""
"Asian alone, percent (a)","(a)","9.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.9%",""
"Hispanic or Latino, percent (b)","(b)","19.8%",""
"White alone, not Hispanic or Latino, percent","","54.0%",""
"Veterans, 2019-2023","","607,728",""
"Foreign-born persons, percent, 2019-2023","","22.6%",""
"Housing Units, July 1, 2023, (V2023)","","8,631,525",""
"Owner-occupied housing unit rate, 2019-2023","","54.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$403,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,501",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$927",""
"Median gross rent, 2019-2023","","$1,576",""
"Building Permits, 2023","","48,807",""
"Households, 2019-2023","","7,668,956",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","30.6%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","39.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","5.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","78,162,473",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","252,439,924",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","69,447,564",""
"Total retail sales, 2022 ($1,000)","(c)","392,993,705",""
"Total retail sales per capita, 2022","(c)","$19,976",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","32.8",""
"Median households income (in 2023 dollars), 2019-2023","","$84,578",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$49,520",""
"Persons in poverty, percent","","14.2%",""
"Total employer establishments, 2022","","540,271",""
"Total employment, 2022","","8,429,776",""
"Total annual payroll, 2022 ($1,000)","","716,345,662",""
"Total employment, percent change, 2021-2022","","6.9%",""
"Total nonemployer establishments, 2022","","1,923,517",""
"All employer firms, Reference year 2022","","427,083",""
"Men-owned employer firms, Reference year 2022","","284,026",""
"Women-owned employer firms, Reference year 2022","","92,967",""
"Minority-owned employer firms, Reference year 2022","","104,131",""
"Nonminority-owned employer firms, Reference year 2022","","299,225",""
"Veteran-owned employer firms, Reference year 2022","","12,167",""
"Nonveteran-owned employer firms, Reference year 2022","","392,504",""
"Population per square mile, 2020","","428.7",""
"Population per square mile, 2010","","411.2",""
"Land area in square miles, 2020","","47,123.59",""
"Land area in square miles, 2010","","47,126.40",""
"FIPS Code","","""36""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
