"Fact","Fact Note","Rhode Island","Value Note for Rhode Island"
"Population estimates, July 1, 2024, (V2024)","","1,112,308",""
"Population estimates, July 1, 2023, (V2023)","","1,095,962",""
"Population estimates base, April 1, 2020, (V2024)","","1,097,354",""
"Population estimates base, April 1, 2020, (V2023)","","1,097,371",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","1,097,379",""
"Population, Census, April 1, 2010","","1,052,567",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","18.6%",""
"Persons 65 years and over, percent","","19.3%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","82.4%",""
"Black alone, percent (a)","(a)","9.3%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","3.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","18.0%",""
"White alone, not Hispanic or Latino, percent","","69.2%",""
"Veterans, 2019-2023","","47,214",""
"Foreign-born persons, percent, 2019-2023","","14.8%",""
"Housing Units, July 1, 2023, (V2023)","","487,132",""
"Owner-occupied housing unit rate, 2019-2023","","63.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$368,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,190",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$873",""
"Median gross rent, 2019-2023","","$1,273",""
"Building Permits, 2023","","1,169",""
"Households, 2019-2023","","436,902",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","22.7%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","37.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.8%",""
"Persons without health insurance, under age 65 years, percent","","5.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","60.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,436,525",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","11,494,135",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","1,887,495",""
"Total retail sales, 2022 ($1,000)","(c)","18,495,146",""
"Total retail sales per capita, 2022","(c)","$16,908",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.5",""
"Median households income (in 2023 dollars), 2019-2023","","$86,372",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$45,919",""
"Persons in poverty, percent","","10.8%",""
"Total employer establishments, 2022","","29,490",""
"Total employment, 2022","","439,021",""
"Total annual payroll, 2022 ($1,000)","","25,938,110",""
"Total employment, percent change, 2021-2022","","6.4%",""
"Total nonemployer establishments, 2022","","92,358",""
"All employer firms, Reference year 2022","","23,144",""
"Men-owned employer firms, Reference year 2022","","14,956",""
"Women-owned employer firms, Reference year 2022","","4,231",""
"Minority-owned employer firms, Reference year 2022","","2,793",""
"Nonminority-owned employer firms, Reference year 2022","","18,374",""
"Veteran-owned employer firms, Reference year 2022","","969",""
"Nonveteran-owned employer firms, Reference year 2022","","19,986",""
"Population per square mile, 2020","","1,061.4",""
"Population per square mile, 2010","","1,018.1",""
"Land area in square miles, 2020","","1,033.89",""
"Land area in square miles, 2010","","1,033.81",""
"FIPS Code","","""44""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
