"Fact","Fact Note","South Carolina","Value Note for South Carolina"
"Population estimates, July 1, 2024, (V2024)","","5,478,831",""
"Population estimates, July 1, 2023, (V2023)","","5,373,555",""
"Population estimates base, April 1, 2020, (V2024)","","5,118,252",""
"Population estimates base, April 1, 2020, (V2023)","","5,118,422",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","5.0%",""
"Population, Census, April 1, 2020","","5,118,425",""
"Population, Census, April 1, 2010","","4,625,364",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","19.3%",""
"Female persons, percent","","51.4%",""
"White alone, percent","","69.0%",""
"Black alone, percent (a)","(a)","26.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","7.5%",""
"White alone, not Hispanic or Latino, percent","","62.9%",""
"Veterans, 2019-2023","","344,530",""
"Foreign-born persons, percent, 2019-2023","","5.6%",""
"Housing Units, July 1, 2023, (V2023)","","2,490,344",""
"Owner-occupied housing unit rate, 2019-2023","","71.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$236,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,475",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$433",""
"Median gross rent, 2019-2023","","$1,126",""
"Building Permits, 2023","","42,474",""
"Households, 2019-2023","","2,070,390",""
"Persons per household, 2019-2023","","2.45",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.2%",""
"Households with a computer, percent, 2019-2023","","93.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","86.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","11.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","59.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","55.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","17,879,711",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","38,362,166",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","11,374,736",""
"Total retail sales, 2022 ($1,000)","(c)","102,257,745",""
"Total retail sales per capita, 2022","(c)","$19,356",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$66,818",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,993",""
"Persons in poverty, percent","","13.9%",""
"Total employer establishments, 2022","","120,769",""
"Total employment, 2022","","2,013,315",""
"Total annual payroll, 2022 ($1,000)","","102,955,987",""
"Total employment, percent change, 2021-2022","","4.0%",""
"Total nonemployer establishments, 2022","","440,037",""
"All employer firms, Reference year 2022","","84,727",""
"Men-owned employer firms, Reference year 2022","","53,664",""
"Women-owned employer firms, Reference year 2022","","18,824",""
"Minority-owned employer firms, Reference year 2022","","12,343",""
"Nonminority-owned employer firms, Reference year 2022","","66,777",""
"Veteran-owned employer firms, Reference year 2022","","6,059",""
"Nonveteran-owned employer firms, Reference year 2022","","71,992",""
"Population per square mile, 2020","","170.3",""
"Population per square mile, 2010","","153.9",""
"Land area in square miles, 2020","","30,064.28",""
"Land area in square miles, 2010","","30,060.70",""
"FIPS Code","","""45""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
