"Fact","Fact Note","Utah","Value Note for Utah"
"Population estimates, July 1, 2024, (V2024)","","3,503,613",""
"Population estimates, July 1, 2023, (V2023)","","3,417,734",""
"Population estimates base, April 1, 2020, (V2024)","","3,271,608",""
"Population estimates base, April 1, 2020, (V2023)","","3,271,614",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","7.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.5%",""
"Population, Census, April 1, 2020","","3,271,616",""
"Population, Census, April 1, 2010","","2,763,885",""
"Persons under 5 years, percent","","6.8%",""
"Persons under 18 years, percent","","27.3%",""
"Persons 65 years and over, percent","","12.2%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","89.8%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.6%",""
"Asian alone, percent (a)","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","1.2%",""
"Two or More Races, percent","","3.0%",""
"Hispanic or Latino, percent (b)","(b)","16.0%",""
"White alone, not Hispanic or Latino, percent","","75.7%",""
"Veterans, 2019-2023","","113,093",""
"Foreign-born persons, percent, 2019-2023","","8.6%",""
"Housing Units, July 1, 2023, (V2023)","","1,258,623",""
"Owner-occupied housing unit rate, 2019-2023","","70.6%",""
"Median value of owner-occupied housing units, 2019-2023","","$455,000",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,927",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$534",""
"Median gross rent, 2019-2023","","$1,405",""
"Building Permits, 2023","","25,361",""
"Households, 2019-2023","","1,094,896",""
"Persons per household, 2019-2023","","2.99",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.7%",""
"Households with a computer, percent, 2019-2023","","97.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","92.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","36.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","7.7%",""
"Persons without health insurance, under age 65 years, percent","","9.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","69.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,093,510",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","26,852,434",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","15,844,454",""
"Total retail sales, 2022 ($1,000)","(c)","79,042,386",""
"Total retail sales per capita, 2022","(c)","$23,377",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.0",""
"Median households income (in 2023 dollars), 2019-2023","","$91,750",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,240",""
"Persons in poverty, percent","","9.0%",""
"Total employer establishments, 2022","","93,706",""
"Total employment, 2022","","1,521,640",""
"Total annual payroll, 2022 ($1,000)","","89,418,575",""
"Total employment, percent change, 2021-2022","","6.1%",""
"Total nonemployer establishments, 2022","","294,809",""
"All employer firms, Reference year 2022","","74,451",""
"Men-owned employer firms, Reference year 2022","","45,960",""
"Women-owned employer firms, Reference year 2022","","13,429",""
"Minority-owned employer firms, Reference year 2022","","7,966",""
"Nonminority-owned employer firms, Reference year 2022","","61,295",""
"Veteran-owned employer firms, Reference year 2022","","2,671",""
"Nonveteran-owned employer firms, Reference year 2022","","66,830",""
"Population per square mile, 2020","","39.7",""
"Population per square mile, 2010","","33.6",""
"Land area in square miles, 2020","","82,376.85",""
"Land area in square miles, 2010","","82,169.62",""
"FIPS Code","","""49""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
