"Fact","Fact Note","Vermont","Value Note for Vermont"
"Population estimates, July 1, 2024, (V2024)","","648,493",""
"Population estimates, July 1, 2023, (V2023)","","647,464",""
"Population estimates base, April 1, 2020, (V2024)","","643,082",""
"Population estimates base, April 1, 2020, (V2023)","","643,077",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.8%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%",""
"Population, Census, April 1, 2020","","643,077",""
"Population, Census, April 1, 2010","","625,741",""
"Persons under 5 years, percent","","4.2%",""
"Persons under 18 years, percent","","17.7%",""
"Persons 65 years and over, percent","","22.1%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","93.6%",""
"Black alone, percent (a)","(a)","1.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.4%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.2%",""
"Hispanic or Latino, percent (b)","(b)","2.6%",""
"White alone, not Hispanic or Latino, percent","","91.5%",""
"Veterans, 2019-2023","","34,076",""
"Foreign-born persons, percent, 2019-2023","","4.3%",""
"Housing Units, July 1, 2023, (V2023)","","341,375",""
"Owner-occupied housing unit rate, 2019-2023","","72.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$290,500",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,877",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$813",""
"Median gross rent, 2019-2023","","$1,193",""
"Building Permits, 2023","","2,456",""
"Households, 2019-2023","","269,466",""
"Persons per household, 2019-2023","","2.30",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","5.5%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","42.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,585,645",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","6,842,309",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","989,473",""
"Total retail sales, 2022 ($1,000)","(c)","14,107,103",""
"Total retail sales per capita, 2022","(c)","$21,800",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.4",""
"Median households income (in 2023 dollars), 2019-2023","","$78,024",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$44,365",""
"Persons in poverty, percent","","9.7%",""
"Total employer establishments, 2022","","20,868",""
"Total employment, 2022","","254,471",""
"Total annual payroll, 2022 ($1,000)","","13,729,536",""
"Total employment, percent change, 2021-2022","","6.1%",""
"Total nonemployer establishments, 2022","","64,930",""
"All employer firms, Reference year 2022","","16,301",""
"Men-owned employer firms, Reference year 2022","","8,892",""
"Women-owned employer firms, Reference year 2022","","2,951",""
"Minority-owned employer firms, Reference year 2022","","614",""
"Nonminority-owned employer firms, Reference year 2022","","13,537",""
"Veteran-owned employer firms, Reference year 2022","","836",""
"Nonveteran-owned employer firms, Reference year 2022","","13,168",""
"Population per square mile, 2020","","69.8",""
"Population per square mile, 2010","","67.9",""
"Land area in square miles, 2020","","9,217.45",""
"Land area in square miles, 2010","","9,216.66",""
"FIPS Code","","""50""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
