"Fact","Fact Note","West Virginia","Value Note for West Virginia"
"Population estimates, July 1, 2024, (V2024)","","1,769,979",""
"Population estimates, July 1, 2023, (V2023)","","1,770,071",""
"Population estimates base, April 1, 2020, (V2024)","","1,793,736",""
"Population estimates base, April 1, 2020, (V2023)","","1,793,713",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.3%",""
"Population, Census, April 1, 2020","","1,793,716",""
"Population, Census, April 1, 2010","","1,852,994",""
"Persons under 5 years, percent","","4.9%",""
"Persons under 18 years, percent","","19.9%",""
"Persons 65 years and over, percent","","21.5%",""
"Female persons, percent","","50.1%",""
"White alone, percent","","92.8%",""
"Black alone, percent (a)","(a)","3.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","Z",""
"Two or More Races, percent","","2.1%",""
"Hispanic or Latino, percent (b)","(b)","2.2%",""
"White alone, not Hispanic or Latino, percent","","90.9%",""
"Veterans, 2019-2023","","109,457",""
"Foreign-born persons, percent, 2019-2023","","1.7%",""
"Housing Units, July 1, 2023, (V2023)","","863,745",""
"Owner-occupied housing unit rate, 2019-2023","","74.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$155,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,225",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$385",""
"Median gross rent, 2019-2023","","$850",""
"Building Permits, 2023","","4,014",""
"Households, 2019-2023","","721,448",""
"Persons per household, 2019-2023","","2.40",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","2.5%",""
"Households with a computer, percent, 2019-2023","","90.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","23.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.8%",""
"Persons without health insurance, under age 65 years, percent","","7.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","53.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","49.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,723,330",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","18,934,220",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,692,949",""
"Total retail sales, 2022 ($1,000)","(c)","30,058,548",""
"Total retail sales per capita, 2022","(c)","$16,944",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","26.6",""
"Median households income (in 2023 dollars), 2019-2023","","$57,917",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$32,949",""
"Persons in poverty, percent","","16.7%",""
"Total employer establishments, 2022","","35,530",""
"Total employment, 2022","","540,468",""
"Total annual payroll, 2022 ($1,000)","","26,501,437",""
"Total employment, percent change, 2021-2022","","4.1%",""
"Total nonemployer establishments, 2022","","93,669",""
"All employer firms, Reference year 2022","","22,550",""
"Men-owned employer firms, Reference year 2022","","13,504",""
"Women-owned employer firms, Reference year 2022","","4,185",""
"Minority-owned employer firms, Reference year 2022","","1,266",""
"Nonminority-owned employer firms, Reference year 2022","","18,793",""
"Veteran-owned employer firms, Reference year 2022","","1,206",""
"Nonveteran-owned employer firms, Reference year 2022","","18,470",""
"Population per square mile, 2020","","74.6",""
"Population per square mile, 2010","","77.1",""
"Land area in square miles, 2020","","24,041.15",""
"Land area in square miles, 2010","","24,038.21",""
"FIPS Code","","""54""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
