"Fact","Fact Note","Wisconsin","Value Note for Wisconsin"
"Population estimates, July 1, 2024, (V2024)","","5,960,975",""
"Population estimates, July 1, 2023, (V2023)","","5,910,955",""
"Population estimates base, April 1, 2020, (V2024)","","5,894,170",""
"Population estimates base, April 1, 2020, (V2023)","","5,893,713",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.3%",""
"Population, Census, April 1, 2020","","5,893,718",""
"Population, Census, April 1, 2010","","5,686,986",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","19.1%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","6.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.2%",""
"Asian alone, percent (a)","(a)","3.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","8.1%",""
"White alone, not Hispanic or Latino, percent","","79.5%",""
"Veterans, 2019-2023","","296,513",""
"Foreign-born persons, percent, 2019-2023","","5.1%",""
"Housing Units, July 1, 2023, (V2023)","","2,787,556",""
"Owner-occupied housing unit rate, 2019-2023","","67.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$247,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,652",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$647",""
"Median gross rent, 2019-2023","","$1,045",""
"Building Permits, 2023","","21,494",""
"Households, 2019-2023","","2,446,028",""
"Persons per household, 2019-2023","","2.35",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.8%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","32.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","5.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","62.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,626,749",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","65,814,972",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","20,718,535",""
"Total retail sales, 2022 ($1,000)","(c)","121,958,764",""
"Total retail sales per capita, 2022","(c)","$20,704",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","22.2",""
"Median households income (in 2023 dollars), 2019-2023","","$75,670",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,019",""
"Persons in poverty, percent","","10.7%",""
"Total employer establishments, 2022","","144,443",""
"Total employment, 2022","","2,600,303",""
"Total annual payroll, 2022 ($1,000)","","153,219,064",""
"Total employment, percent change, 2021-2022","","3.2%",""
"Total nonemployer establishments, 2022","","389,776",""
"All employer firms, Reference year 2022","","101,816",""
"Men-owned employer firms, Reference year 2022","","60,996",""
"Women-owned employer firms, Reference year 2022","","19,047",""
"Minority-owned employer firms, Reference year 2022","","8,814",""
"Nonminority-owned employer firms, Reference year 2022","","84,731",""
"Veteran-owned employer firms, Reference year 2022","","4,841",""
"Nonveteran-owned employer firms, Reference year 2022","","87,345",""
"Population per square mile, 2020","","108.8",""
"Population per square mile, 2010","","105.0",""
"Land area in square miles, 2020","","54,167.14",""
"Land area in square miles, 2010","","54,157.80",""
"FIPS Code","","""55""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
